11 [1,10,65,252,715,1210,1331]
13 [1,8,59,224,767,1352,2197]
13 [1,14,101,448,1313,2366,2197]
13 [1,4,43,104,559,676,2197]
17 [1,8,71,288,1207,2312,4913]
17 [1,16,135,688,2295,4624,4913]
19 [1,10,89,412,1691,3610,6859]
19 [1,-10,88,-410,1672,-3610,6859]
23 [1,-14,133,-740,3059,-7406,12167]
23 [1,10,101,492,2323,5290,12167]
