BASE 39 2
PP -1 32 -2
PP -1 18 2
PP -1 13 2
PP -1 12 -28
PP -1 11 20
PP -1 10 30
PP -1 9 -28
PP -1 8 22
PP -1 6 -2
PP -1 4 -28
PP -1 2 20
PP -1 1 30
PP -2 78 2
PP -2 14 4
PP -2 12 -5241430478785720235151540284532191436262054646951/32768
PP -2 11 8927967484682725495183740059243764757141166954191/65536
PP -2 10 5241430478785720235151540284532191436262054646951/32768
PP -2 9 -5241430478785720235151540284532191436262054712487/32768
PP -2 8 8927967484682725495183740059243764757141166954191/65536
PP -2 6 -2
PP -2 4 -5241430478785720235151540284532191436262054646951/32768
PP -2 2 8927967484682725495183740059243764757141166954191/65536
PP -2 1 5241430478785720235151540284532191436262054581415/32768
DONE
