BASE 22 3  M = 132  ds = [ 1, 2, 3, 4, 6, 11, 12, 22, 33, 44, 66, 132 ]
#isotropic = 5 (2N-1 = 5)
#cosets = 288
#monomials = 132
MONO 67 [ 8, -5, -3, 1, 4, 0, 0, -1, -1, 4, 9, -15 ]
MONO 68 [ 8, -5, -2, 0, 4, -1, 0, -1, -1, 4, 9, -14 ]
MONO 69 [ 8, -4, -3, -1, 1, 0, 6, -2, -1, 6, 12, -21 ]
MONO 70 [ 8, -4, -2, -2, 1, -1, 6, -2, -1, 6, 12, -20 ]
MONO 71 [ 8, -4, -2, -1, 1, -2, 3, 0, 2, 4, 6, -14 ]
MONO 72 [ 8, -3, -3, 0, 1, 0, 2, -3, -1, 5, 10, -15 ]
MONO 73 [ 8, -3, -2, -3, -2, -2, 9, -1, 2, 6, 9, -20 ]
MONO 74 [ 8, -2, -3, -2, -2, 0, 8, -4, -1, 7, 13, -21 ]
MONO 75 [ 9, -5, -2, 1, 2, -2, 0, 1, 1, 3, 5, -12 ]
MONO 76 [ 9, -4, -3, -1, 1, -1, 3, 0, 1, 4, 6, -14 ]
MONO 77 [ 9, -4, -2, -1, -1, -2, 6, 0, 1, 5, 8, -18 ]
MONO 78 [ 9, -4, -2, -1, 1, -2, 2, 0, 1, 5, 6, -14 ]
MONO 79 [ 9, -3, -5, -1, 5, -2, 0, 0, 2, 4, 5, -13 ]
MONO 80 [ 9, -3, -3, -3, -2, -1, 9, -1, 1, 6, 9, -20 ]
MONO 81 [ 9, -3, -2, -3, -2, -2, 8, -1, 1, 7, 9, -20 ]
MONO 82 [ 9, -2, -5, -3, 2, -2, 6, -1, 2, 6, 8, -19 ]
MONO 83 [ 10, -6, -5, 1, 5, -2, 0, 0, 1, 4, 8, -15 ]
MONO 84 [ 10, -5, -5, -1, 2, -2, 6, -1, 1, 6, 11, -21 ]
MONO 85 [ 10, -5, -4, -1, 2, 0, 3, -1, 0, 4, 7, -14 ]
MONO 86 [ 10, -4, -4, -3, -1, 0, 9, -2, 0, 6, 10, -20 ]
MONO 87 [ 10, -3, -4, -1, 2, -3, 1, 3, 1, 3, 5, -13 ]
MONO 88 [ 10, -2, -4, -3, -1, -3, 7, 2, 1, 5, 8, -19 ]
MONO 89 [ 3, -6, -9, 1, 17, -1, 3, -1, 1, 7, 11, -25 ]
MONO 90 [ 3, -5, -9, -2, 16, -1, 6, -2, 1, 8, 12, -26 ]
MONO 91 [ 3, -3, -5, -3, 4, -5, 11, 10, 1, 3, 10, -25 ]
MONO 92 [ 3, -3, -4, -2, 2, -7, 11, 12, 4, 2, 6, -23 ]
MONO 93 [ 3, -2, -5, -3, 4, -2, 10, 0, 0, 7, 15, -26 ]
MONO 94 [ 3, -2, -4, -2, 1, -1, 11, -4, 2, 9, 16, -28 ]
MONO 95 [ 4, -8, -12, 0, 23, -1, 2, -2, 1, 8, 10, -24 ]
MONO 96 [ 4, -6, -10, -2, 17, 0, 6, -3, 0, 8, 13, -26 ]
MONO 97 [ 4, -4, -6, -2, 7, -1, 8, 2, -1, 6, 14, -26 ]
MONO 98 [ 4, -3, -5, -3, 4, -3, 10, 3, 2, 7, 11, -26 ]
MONO 99 [ 4, -2, -4, -4, 0, -4, 13, 7, 2, 4, 10, -25 ]
MONO 100 [ 5, -5, -7, 0, 10, -1, 6, -1, 1, 7, 11, -25 ]
MONO 101 [ 5, -4, -7, -3, 9, -1, 9, -2, 1, 8, 12, -26 ]
MONO 102 [ 5, -2, -3, -4, -3, -5, 14, 10, 1, 3, 10, -25 ]
MONO 103 [ 5, -2, -3, -3, -2, -2, 12, -1, 0, 8, 16, -27 ]
MONO 104 [ 5, -1, -3, -4, -3, -2, 13, 0, 0, 7, 15, -26 ]
MONO 105 [ 5, -1, -2, -3, -6, -1, 14, -4, 2, 9, 16, -28 ]
MONO 106 [ 6, -7, -10, -1, 16, -1, 5, -2, 1, 8, 10, -24 ]
MONO 107 [ 6, -5, -8, -3, 10, 0, 9, -3, 0, 8, 13, -26 ]
MONO 108 [ 6, -3, -4, -3, 0, -1, 11, 2, -1, 6, 14, -26 ]
MONO 109 [ 6, -2, -3, -3, -4, -4, 13, 1, 5, 7, 12, -27 ]
MONO 110 [ 6, -1, -3, -5, -4, 0, 14, -5, 1, 12, 13, -27 ]
MONO 111 [ 6, -1, -2, -4, -6, 1, 14, -7, -5, 10, 25, -30 ]
MONO 112 [ 7, -4, -5, -1, 3, -1, 9, -1, 1, 7, 11, -25 ]
MONO 113 [ 7, -3, -5, -4, 2, -1, 12, -2, 1, 8, 12, -26 ]
MONO 114 [ 7, -2, -3, -4, -3, 1, 12, -5, -3, 8, 19, -26 ]
MONO 115 [ 7, -2, -3, -4, -3, 3, 12, -4, -1, 7, 12, -23 ]
MONO 116 [ 7, -1, -3, -5, -4, 0, 13, -5, 0, 13, 13, -27 ]
MONO 117 [ 7, -1, -3, -4, -1, 0, 11, -4, 0, 9, 13, -26 ]
MONO 118 [ 7, 0, -2, -4, -6, -1, 14, -4, 0, 9, 15, -27 ]
MONO 119 [ 7, 1, -2, -5, -7, -1, 15, -3, 0, 8, 14, -26 ]
MONO 120 [ 7, 3, -3, -7, -6, 0, 15, -4, 0, 8, 12, -24 ]
MONO 121 [ 8, -4, -6, -4, 3, 0, 12, -3, 0, 8, 13, -26 ]
MONO 122 [ 8, -3, -3, -3, -2, 0, 12, -3, -1, 8, 15, -27 ]
MONO 123 [ 8, -3, -2, -4, -2, -1, 12, -3, -1, 8, 15, -26 ]
MONO 124 [ 8, -2, -2, -5, -5, -2, 15, -2, 2, 8, 12, -26 ]
MONO 125 [ 8, -1, -3, -4, -5, 0, 14, -5, -1, 9, 16, -27 ]
