BASE 15 2  M = 60  ds = [ 1, 2, 3, 4, 5, 6, 10, 12, 15, 20, 30, 60 ]
#isotropic = 3 (2N-1 = 3)
#cosets = 144
#monomials = 158 (panel 86 + extra 72)
MONO 1 [ -21, 8, 3, 1, 20, 8, -9, -4, -6, 0, 2, -1 ]
MONO 2 [ -21, 10, 7, 0, 16, -4, -1, 1, -6, -3, 4, -2 ]
MONO 3 [ -21, 11, 6, -1, 17, -2, -9, 0, -4, 4, 3, -3 ]
MONO 4 [ -21, 13, 8, -1, 17, -5, -6, 1, -6, -1, 3, -1 ]
MONO 5 [ -20, 9, 6, 2, 18, -2, -7, 0, -6, -1, 3, -1 ]
MONO 6 [ -20, 10, 7, 1, 19, -4, -9, 1, -6, 0, 4, -2 ]
MONO 7 [ -20, 14, 6, -2, 18, -3, -9, 0, -6, 0, 3, 0 ]
MONO 8 [ -16, 6, 3, 1, 10, 4, 1, -3, -3, -3, -2, 3 ]
MONO 9 [ -16, 8, 4, -1, 11, 0, -5, 0, -3, 4, 2, -3 ]
MONO 10 [ -15, 5, 1, 1, 14, 9, -6, -4, -4, 0, 1, -1 ]
MONO 11 [ -15, 7, 5, 0, 10, -3, 2, 1, -4, -3, 3, -2 ]
MONO 12 [ -15, 8, 4, -1, 11, -1, -6, 0, -2, 4, 2, -3 ]
MONO 13 [ -15, 10, 6, -1, 11, -4, -3, 1, -4, -1, 2, -1 ]
MONO 14 [ -14, 6, 4, 2, 12, -1, -4, 0, -4, -1, 2, -1 ]
MONO 15 [ -14, 7, 5, 1, 13, -3, -6, 1, -4, 0, 3, -2 ]
MONO 16 [ -14, 11, 4, -2, 12, -2, -6, 0, -4, 0, 2, 0 ]
MONO 17 [ -10, 3, 1, 1, 4, 5, 4, -3, -1, -3, -3, 3 ]
MONO 18 [ -10, 5, 2, -1, 5, 1, -2, 0, -1, 4, 1, -3 ]
MONO 19 [ -9, 2, -1, 1, 8, 10, -3, -4, -2, 0, 0, -1 ]
MONO 20 [ -9, 4, 3, 0, 4, -2, 5, 1, -2, -3, 2, -2 ]
MONO 21 [ -9, 5, 2, -1, 5, 0, -3, 0, 0, 4, 1, -3 ]
MONO 22 [ -9, 7, 4, -1, 5, -3, 0, 1, -2, -1, 1, -1 ]
MONO 23 [ -8, 3, 2, 2, 6, 0, -1, 0, -2, -1, 1, -1 ]
MONO 24 [ -8, 4, 3, 1, 7, -2, -3, 1, -2, 0, 2, -2 ]
MONO 25 [ -8, 8, 2, -2, 6, -1, -3, 0, -2, 0, 1, 0 ]
MONO 26 [ -4, 0, -1, 1, -2, 6, 7, -3, 1, -3, -4, 3 ]
MONO 27 [ -4, 2, 0, -1, -1, 2, 1, 0, 1, 4, 0, -3 ]
MONO 28 [ -3, -1, -3, 1, 2, 11, 0, -4, 0, 0, -1, -1 ]
MONO 29 [ -3, 1, 1, 0, -2, -1, 8, 1, 0, -3, 1, -2 ]
MONO 30 [ -3, 2, 0, -1, -1, 1, 0, 0, 2, 4, 0, -3 ]
MONO 31 [ -3, 4, 2, -1, -1, -2, 3, 1, 0, -1, 0, -1 ]
MONO 32 [ -2, 0, 0, 2, 0, 1, 2, 0, 0, -1, 0, -1 ]
MONO 33 [ -2, 1, 1, 1, 1, -1, 0, 1, 0, 0, 1, -2 ]
