AVAIL = [ -2, -1, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66 ]
USEDKEYS -2,-1,
BASE 210 1  M = 420  ds = [ 1, 2, 3, 4, 5, 6, 7, 10, 12, 14, 15, 20, 21, 28, 30,35, 42, 60, 70, 84, 105, 140, 210, 420 ]
#monomials = 208
MONO 1 [ -4, 8, 2, -3, 3, -3, 1, -3, 2, 0, -1, 1, 0, -1, -1, -1, -3, 4, -3, 6, 0, 9, 12, -24 ]
MONO 2 [ -4, 8, 2, -3, 3, -2, 1, -3, 0, 0, -1, 1, 0, -1, 0, -1, -2, 2, -1, 4, 0,5, 7, -14 ]
MONO 3 [ -4, 9, 0, -3, 2, 0, 0, -2, 1, 0, 0, 0, 0, -1, -2, 3, -3, 4, -6, 6, -1, 9, 13, -24 ]
MONO 4 [ -4, 9, 0, -3, 2, 1, 0, -2, -1, 0, 0, 0, 0, -1, -1, 3, -2, 2, -4, 4, -1,5, 8, -14 ]
MONO 5 [ -4, 9, 1, -2, 2, -3, 1, -3, 2, -2, -2, 0, -1, 0, 2, 0, 0, 3, -2, 4, 1, 8, 10, -23 ]
MONO 6 [ -4, 9, 1, -2, 2, -2, 1, -3, 0, -2, -2, 0, -1, 0, 3, 0, 1, 1, 0, 2, 1, 4, 5, -13 ]
MONO 7 [ -3, 7, 1, -1, 1, -3, -1, -1, 2, 3, 0, 0, 0, -2, -2, 0, -3, 4, -5, 5, 0,9, 15, -25 ]
MONO 8 [ -3, 7, 1, -1, 1, -2, -1, -1, 0, 3, 0, 0, 0, -2, -1, 0, -2, 2, -3, 3, 0,5, 10, -15 ]
MONO 9 [ -2, 3, 3, -1, 2, -3, 1, -1, 2, 0, -1, 0, -2, -1, 0, -1, 2, 3, -4, 3, 2,9, 10, -23 ]
MONO 10 [ -2, 3, 3, -1, 2, -2, 1, -1, 0, 0, -1, 0, -2, -1, 1, -1, 3, 1, -2, 1, 2, 5, 5, -13 ]
MONO 11 [ -2, 4, 1, -1, -1, -2, 1, 3, 2, -1, 2, -2, -2, 0, -4, -1, 2, 5, -3, 3, 2, 8, 10, -23 ]
