BASE 15 2  M = 60  |D| = 1800
KUBOTA units (word for w; unit for the INVERSE-letter word):
KUB c=20 d=3 gcd=20 unit=-1
KUB c=20 d=11 gcd=20 unit=-1
KUB c=30 d=1 gcd=30 unit=-1
level = 60
CHI values on Gamma_0(60) (gamma = [a b; lev*k d]):
  gamma=(1,0;0,1): offdiag 0.0000  chi=(1.0000000,0.00000000) arg8=0.00000000
  gamma=(-1,0;0,-1): offdiag 7.641E-61  chi=(0.00000000,1.0000000) 
arg8=2.0000000
  gamma=(1,0;60,1): offdiag 1.835E-59  chi=(-1.0000000,-6.3059888E-60) 
arg8=-4.0000000
  gamma=(-1,0;60,-1): offdiag 1.776E-59  chi=(6.6378829E-60,1.0000000) 
arg8=2.0000000
  gamma=(-17,-2;60,7): offdiag 4.245E-60  chi=(-2.6551532E-60,-1.0000000) 
arg8=-2.0000000
  gamma=(11,2;60,11): offdiag 2.101E-60  chi=(3.3189415E-61,-1.0000000) 
arg8=-2.0000000
  gamma=(-23,-5;60,13): offdiag 4.304E-60  chi=(1.0000000,-2.6551532E-60) 
arg8=-3.3806460E-60
  gamma=(1,0;-60,1): offdiag 1.775E-59  chi=(-1.0000000,8.2973537E-60) 
arg8=4.0000000
  gamma=(-1,0;-60,-1): offdiag 1.824E-59  chi=(-6.3059888E-60,1.0000000) 
arg8=2.0000000
  gamma=(-17,2;-60,7): offdiag 2.819E-60  chi=(-6.6378829E-61,-1.0000000) 
arg8=-2.0000000
  gamma=(11,-2;-60,11): offdiag 1.772E-60  chi=(1.9913649E-60,1.0000000) 
arg8=2.0000000
  gamma=(-23,5;-60,13): offdiag 1.741E-60  chi=(-1.0000000,1.3275766E-60) 
arg8=4.0000000
  gamma=(1,0;120,1): offdiag 3.646E-59  chi=(-1.0000000,-1.2943872E-59) 
arg8=-4.0000000
  gamma=(-1,0;120,-1): offdiag 3.546E-59  chi=(1.2943872E-59,1.0000000) 
arg8=2.0000000
  gamma=(-17,-1;120,7): offdiag 5.010E-60  chi=(0.00000000,-1.0000000) 
arg8=-2.0000000
  gamma=(11,1;120,11): offdiag 3.984E-60  chi=(0.00000000,1.0000000) 
arg8=2.0000000
