BASE 6 107 9
PP 8 oo 448 -1
PP 8 oo 412 6
PP 8 oo 321 2
PP 8 oo 119 -6194/15
PP 8 oo 118 194/5
PP 8 oo 117 603/5
PP 8 oo 116 194/5
PP 8 oo 111 -674/15
PP 8 oo 110 5152/15
PP 8 oo 108 -184/3
PP 8 oo 107 94
PP 8 oo 105 -7513/30
PP 8 oo 102 -4141/30
PP 8 oo 101 321/2
PP 8 oo 100 -1564/5
PP 8 oo 99 -5981/30
PP 8 oo 92 325/6
PP 8 oo 90 14627/30
PP 8 oo 89 -4691/30
PP 8 oo 88 -3
PP 8 oo 87 961/5
PP 8 oo 86 -61/15
PP 8 oo 85 325/3
PP 8 oo 84 1
PP 8 oo 83 -5243/30
PP 8 oo 81 -4691/30
PP 8 oo 79 -2852/15
PP 8 oo 77 -87/2
PP 8 oo 76 2699/15
PP 8 oo 75 -1196/5
PP 8 oo 74 66
PP 8 oo 72 2
PP 8 oo 70 -5
PP 8 oo 69 -5059/30
PP 8 oo 68 157/2
PP 8 oo 67 9
PP 8 oo 65 -65/2
PP 8 oo 64 6286/15
PP 8 oo 63 18
PP 8 oo 62 -51/10
PP 8 oo 61 -777/5
PP 8 oo 60 5
PP 8 oo 59 307/2
PP 8 oo 57 4906/15
PP 8 oo 56 239/6
PP 8 oo 55 16
PP 8 oo 54 6
PP 8 oo 53 521/30
PP 8 oo 52 -2116/15
PP 8 oo 50 -305/2
PP 8 oo 49 -10886/15
PP 8 oo 48 1711/3
PP 8 oo 47 -409/5
PP 8 oo 45 9
PP 8 oo 44 787/5
PP 8 oo 42 -12419/30
PP 8 oo 41 -5183/15
PP 8 oo 40 8801/15
PP 8 oo 39 -190/3
PP 8 oo 38 -318
PP 8 oo 37 -43/3
PP 8 oo 36 -8861/30
PP 8 oo 35 -8801/30
PP 8 oo 34 1993/15
PP 8 oo 33 595/6
PP 8 oo 32 165
PP 8 oo 31 -1
PP 8 oo 30 1153/3
PP 8 oo 29 6409/30
PP 8 oo 28 13
PP 8 oo 27 -6041/30
PP 8 oo 26 183
PP 8 oo 25 3557/5
PP 8 oo 24 16
PP 8 oo 23 859/15
PP 8 oo 22 3
PP 8 oo 21 -1
PP 8 oo 20 -213/2
PP 8 oo 19 -368/5
PP 8 oo 18 8
PP 8 oo 17 129
PP 8 oo 16 319/3
PP 8 oo 15 -11
PP 8 oo 14 319/3
PP 8 oo 13 -45
PP 8 oo 12 -239/6
PP 8 oo 11 961/5
PP 8 oo 10 -6256/15
PP 8 oo 9 2423/30
PP 8 oo 8 56
PP 8 oo 7 -20
PP 8 oo 6 -40
PP 8 oo 5 -65
PP 8 oo 4 -139
PP 8 oo 3 -2913/10
PP 8 oo 2 -59/2
PP 8 oo 1 47
VERD 8 oo 642 111 30 4 NONINTEGRAL
PP 9 oo 330 310/9
PP 9 oo 329 -4
PP 9 oo 328 2
PP 9 oo 327 12
PP 9 oo 326 -68/3
PP 9 oo 323 -8/3
PP 9 oo 321 2
PP 9 oo 320 86/3
PP 9 oo 317 32/3
PP 9 oo 312 4
PP 9 oo 292 -4
PP 9 oo 288 -8
PP 9 oo 268 -6
PP 9 oo 252 -6
PP 9 oo 240 4
PP 9 oo 220 -4
PP 9 oo 214 2
PP 9 oo 119 2263/9
PP 9 oo 118 17/9
PP 9 oo 117 -236/3
PP 9 oo 116 17/9
PP 9 oo 112 2
PP 9 oo 111 155/9
PP 9 oo 110 -2314/9
PP 9 oo 108 29/3
PP 9 oo 107 34/3
PP 9 oo 105 3023/18
PP 9 oo 102 2779/18
PP 9 oo 101 -2159/18
PP 9 oo 100 1883/9
PP 9 oo 99 881/6
PP 9 oo 92 -191/18
PP 9 oo 90 -597/2
PP 9 oo 89 283/6
PP 9 oo 88 -2
PP 9 oo 87 -1175/9
PP 9 oo 86 -224/9
PP 9 oo 85 -346/9
PP 9 oo 84 -4
PP 9 oo 83 1607/18
PP 9 oo 82 -2
PP 9 oo 81 1159/18
PP 9 oo 79 121
PP 9 oo 78 -4
PP 9 oo 77 -68/3
PP 9 oo 76 -142
PP 9 oo 75 1589/9
PP 9 oo 74 86/3
PP 9 oo 73 4
PP 9 oo 69 1573/18
PP 9 oo 68 28
PP 9 oo 67 6
PP 9 oo 65 -4/3
PP 9 oo 64 -760/3
PP 9 oo 63 -4
PP 9 oo 62 431/18
PP 9 oo 61 709/9
PP 9 oo 60 2
PP 9 oo 59 34
PP 9 oo 57 -2227/9
PP 9 oo 56 -25/2
PP 9 oo 55 -2
PP 9 oo 54 -6
PP 9 oo 53 121/18
PP 9 oo 52 242/3
PP 9 oo 50 -14
PP 9 oo 49 3836/9
PP 9 oo 48 -3127/9
PP 9 oo 47 190/3
PP 9 oo 45 4
PP 9 oo 44 -709/9
PP 9 oo 42 4475/18
PP 9 oo 41 217
PP 9 oo 40 -3524/9
PP 9 oo 39 224/9
PP 9 oo 38 -16/3
PP 9 oo 37 67
PP 9 oo 36 2713/18
PP 9 oo 35 3059/18
PP 9 oo 34 -605/9
PP 9 oo 33 -1639/18
PP 9 oo 32 16
PP 9 oo 31 -4
PP 9 oo 30 -2246/9
PP 9 oo 29 -2711/18
PP 9 oo 28 2
PP 9 oo 27 2917/18
PP 9 oo 26 -2/3
PP 9 oo 25 -1336/3
PP 9 oo 24 -8
PP 9 oo 23 -71
PP 9 oo 22 2
PP 9 oo 21 4
PP 9 oo 20 -20/3
PP 9 oo 19 467/9
PP 9 oo 18 6
PP 9 oo 17 -8
PP 9 oo 16 -322/3
PP 9 oo 15 -4
PP 9 oo 14 -829/9
PP 9 oo 13 -206/9
PP 9 oo 12 -85/18
PP 9 oo 11 -1330/9
PP 9 oo 10 766/3
PP 9 oo 9 -1501/18
PP 9 oo 8 56/3
PP 9 oo 7 6
PP 9 oo 6 -2
PP 9 oo 5 20/3
PP 9 oo 4 932/9
PP 9 oo 3 3161/18
PP 9 oo 2 -52/3
PP 9 oo 1 -259/9
VERD 9 oo 330 113 18 3 NONINTEGRAL
PP 10 oo 642 2
PP 10 oo 641 25/2
PP 10 oo 640 347/15
PP 10 oo 639 19
PP 10 oo 638 -74
PP 10 oo 632 -56
PP 10 oo 631 -6
PP 10 oo 630 5
PP 10 oo 629 -100
PP 10 oo 626 -347/2
PP 10 oo 603 -7
PP 10 oo 585 5
PP 10 oo 508 -6
PP 10 oo 496 3
PP 10 oo 448 -1
PP 10 oo 412 4
PP 10 oo 214 2
PP 10 oo 119 -5944/15
PP 10 oo 118 184/5
PP 10 oo 117 583/5
PP 10 oo 116 184/5
PP 10 oo 111 -664/15
PP 10 oo 110 4952/15
PP 10 oo 108 -182/3
PP 10 oo 107 90
PP 10 oo 105 -7193/30
PP 10 oo 102 -3881/30
PP 10 oo 101 305/2
PP 10 oo 100 -1494/5
PP 10 oo 99 -5761/30
PP 10 oo 92 317/6
PP 10 oo 90 14047/30
PP 10 oo 89 -4531/30
PP 10 oo 88 -5
PP 10 oo 87 911/5
PP 10 oo 86 -41/15
PP 10 oo 85 323/3
PP 10 oo 84 1
PP 10 oo 83 -5083/30
PP 10 oo 81 -4471/30
PP 10 oo 79 -2722/15
PP 10 oo 77 -83/2
PP 10 oo 76 2569/15
PP 10 oo 75 -1136/5
PP 10 oo 74 62
PP 10 oo 72 6
PP 10 oo 70 -5
PP 10 oo 69 -4919/30
PP 10 oo 68 153/2
PP 10 oo 67 7
PP 10 oo 65 -61/2
PP 10 oo 64 6086/15
PP 10 oo 63 18
PP 10 oo 62 -31/10
PP 10 oo 61 -737/5
PP 10 oo 60 7
PP 10 oo 59 303/2
PP 10 oo 57 4736/15
PP 10 oo 56 223/6
PP 10 oo 55 12
PP 10 oo 54 6
PP 10 oo 53 541/30
PP 10 oo 52 -2036/15
PP 10 oo 50 -297/2
PP 10 oo 49 -10486/15
PP 10 oo 48 1643/3
PP 10 oo 47 -389/5
PP 10 oo 45 9
PP 10 oo 44 747/5
PP 10 oo 42 -11959/30
PP 10 oo 41 -4963/15
PP 10 oo 40 8431/15
PP 10 oo 39 -188/3
PP 10 oo 38 -310
PP 10 oo 37 -35/3
PP 10 oo 36 -8521/30
PP 10 oo 35 -8461/30
PP 10 oo 34 1913/15
PP 10 oo 33 575/6
PP 10 oo 32 163
PP 10 oo 31 -1
PP 10 oo 30 1103/3
PP 10 oo 29 6149/30
PP 10 oo 28 9
PP 10 oo 27 -5821/30
PP 10 oo 26 181
PP 10 oo 25 3427/5
PP 10 oo 24 12
PP 10 oo 23 779/15
PP 10 oo 22 5
PP 10 oo 21 -1
PP 10 oo 20 -213/2
PP 10 oo 19 -338/5
PP 10 oo 18 4
PP 10 oo 17 127
PP 10 oo 16 305/3
PP 10 oo 15 -11
PP 10 oo 14 305/3
PP 10 oo 13 -43
PP 10 oo 12 -235/6
PP 10 oo 11 921/5
PP 10 oo 10 -6026/15
PP 10 oo 9 2323/30
PP 10 oo 8 54
PP 10 oo 7 -18
PP 10 oo 6 -32
PP 10 oo 5 -61
PP 10 oo 4 -133
PP 10 oo 3 -2813/10
PP 10 oo 2 -55/2
PP 10 oo 1 47
VERD 10 oo 642 111 30 4 NONINTEGRAL
PP 11 oo 642 2
PP 11 oo 641 43/2
PP 11 oo 640 186/5
PP 11 oo 639 29
PP 11 oo 638 -126
PP 11 oo 632 -94
PP 11 oo 631 -8
PP 11 oo 630 9
PP 11 oo 629 -170
PP 11 oo 626 -589/2
PP 11 oo 603 -11
PP 11 oo 585 9
PP 11 oo 508 -10
PP 11 oo 496 5
PP 11 oo 448 -1
PP 11 oo 412 6
PP 11 oo 321 2
PP 11 oo 214 2
PP 11 oo 119 -3357/5
PP 11 oo 118 311/5
PP 11 oo 117 982/5
PP 11 oo 116 311/5
PP 11 oo 111 -367/5
PP 11 oo 110 2796/5
PP 11 oo 108 -101
PP 11 oo 107 152
PP 11 oo 105 -4069/10
PP 11 oo 102 -2233/10
PP 11 oo 101 521/2
PP 11 oo 100 -2541/5
PP 11 oo 99 -3253/10
PP 11 oo 92 177/2
PP 11 oo 90 7931/10
PP 11 oo 89 -2543/10
PP 11 oo 88 -7
PP 11 oo 87 1559/5
PP 11 oo 86 -28/5
PP 11 oo 85 178
PP 11 oo 84 1
PP 11 oo 83 -2849/10
PP 11 oo 81 -2533/10
PP 11 oo 79 -1541/5
PP 11 oo 77 -145/2
PP 11 oo 76 1462/5
PP 11 oo 75 -1939/5
PP 11 oo 74 100
PP 11 oo 72 12
PP 11 oo 70 -9
PP 11 oo 69 -2747/10
PP 11 oo 68 255/2
PP 11 oo 67 11
PP 11 oo 65 -99/2
PP 11 oo 64 3418/5
PP 11 oo 63 28
PP 11 oo 62 -69/10
PP 11 oo 61 -1263/5
PP 11 oo 60 11
PP 11 oo 59 513/2
PP 11 oo 57 2663/5
PP 11 oo 56 127/2
PP 11 oo 55 16
PP 11 oo 54 10
PP 11 oo 53 293/10
PP 11 oo 52 -1148/5
PP 11 oo 50 -503/2
PP 11 oo 49 -5908/5
PP 11 oo 48 927
PP 11 oo 47 -666/5
PP 11 oo 45 15
PP 11 oo 44 1273/5
PP 11 oo 42 -6737/10
PP 11 oo 41 -2809/5
PP 11 oo 40 4768/5
PP 11 oo 39 -104
PP 11 oo 38 -524
PP 11 oo 37 -23
PP 11 oo 36 -4803/10
PP 11 oo 35 -4773/10
PP 11 oo 34 1079/5
PP 11 oo 33 325/2
PP 11 oo 32 277
PP 11 oo 31 -1
PP 11 oo 30 624
PP 11 oo 29 3477/10
PP 11 oo 28 13
PP 11 oo 27 -3283/10
PP 11 oo 26 307
PP 11 oo 25 5788/5
PP 11 oo 24 16
PP 11 oo 23 457/5
PP 11 oo 22 7
PP 11 oo 21 -1
PP 11 oo 20 -359/2
PP 11 oo 19 -587/5
PP 11 oo 18 4
PP 11 oo 17 213
PP 11 oo 16 174
PP 11 oo 15 -19
PP 11 oo 14 173
PP 11 oo 13 -74
PP 11 oo 12 -129/2
PP 11 oo 11 1564/5
PP 11 oo 10 -3398/5
PP 11 oo 9 1319/10
PP 11 oo 8 88
PP 11 oo 7 -30
PP 11 oo 6 -50
PP 11 oo 5 -107
PP 11 oo 4 -226
PP 11 oo 3 -4747/10
PP 11 oo 2 -93/2
PP 11 oo 1 77
VERD 11 oo 642 112 10 3 NONINTEGRAL
PP 12 oo 330 514/9
PP 12 oo 329 -2
PP 12 oo 328 4
PP 12 oo 327 10
PP 12 oo 326 -68/3
PP 12 oo 323 -2/3
PP 12 oo 320 92/3
PP 12 oo 317 32/3
PP 12 oo 312 -2
PP 12 oo 292 -8
PP 12 oo 288 -2
PP 12 oo 268 -2
PP 12 oo 252 -2
PP 12 oo 240 2
PP 12 oo 220 -2
PP 12 oo 214 2
PP 12 oo 119 3700/9
PP 12 oo 118 20/9
PP 12 oo 117 -386/3
PP 12 oo 116 20/9
PP 12 oo 111 266/9
PP 12 oo 110 -3778/9
PP 12 oo 108 44/3
PP 12 oo 107 58/3
PP 12 oo 105 2467/9
PP 12 oo 102 2279/9
PP 12 oo 101 -1765/9
PP 12 oo 100 3074/9
PP 12 oo 99 715/3
PP 12 oo 92 -151/9
PP 12 oo 90 -487
PP 12 oo 89 227/3
PP 12 oo 88 -6
PP 12 oo 87 -1916/9
PP 12 oo 86 -362/9
PP 12 oo 85 -550/9
PP 12 oo 84 -4
PP 12 oo 83 1309/9
PP 12 oo 82 -4
PP 12 oo 81 947/9
PP 12 oo 79 196
PP 12 oo 78 2
PP 12 oo 77 -68/3
PP 12 oo 76 -232
PP 12 oo 75 2600/9
PP 12 oo 74 122/3
PP 12 oo 73 8
PP 12 oo 72 8
PP 12 oo 69 1271/9
PP 12 oo 68 42
PP 12 oo 67 2
PP 12 oo 65 26/3
PP 12 oo 64 -1240/3
PP 12 oo 63 -10
PP 12 oo 62 361/9
PP 12 oo 61 1156/9
PP 12 oo 60 2
PP 12 oo 59 36
PP 12 oo 57 -3646/9
PP 12 oo 56 -21
PP 12 oo 55 -14
PP 12 oo 54 -2
PP 12 oo 53 95/9
PP 12 oo 52 392/3
PP 12 oo 50 -16
PP 12 oo 49 6242/9
PP 12 oo 48 -5104/9
PP 12 oo 47 310/3
PP 12 oo 45 2
PP 12 oo 44 -1156/9
PP 12 oo 42 3643/9
PP 12 oo 41 352
PP 12 oo 40 -5750/9
PP 12 oo 39 380/9
PP 12 oo 38 -10/3
PP 12 oo 37 112
PP 12 oo 36 2219/9
PP 12 oo 35 2485/9
PP 12 oo 34 -986/9
PP 12 oo 33 -1349/9
PP 12 oo 32 22
PP 12 oo 31 -10
PP 12 oo 30 -3662/9
PP 12 oo 29 -2221/9
PP 12 oo 27 2393/9
PP 12 oo 26 4/3
PP 12 oo 25 -2176/3
PP 12 oo 24 -12
PP 12 oo 23 -116
PP 12 oo 22 6
PP 12 oo 21 4
PP 12 oo 20 -20/3
PP 12 oo 19 758/9
PP 12 oo 18 -6
PP 12 oo 17 -10
PP 12 oo 16 -532/3
PP 12 oo 15 -10
PP 12 oo 14 -1348/9
PP 12 oo 13 -344/9
PP 12 oo 12 -77/9
PP 12 oo 11 -2164/9
PP 12 oo 10 1246/3
PP 12 oo 9 -1235/9
PP 12 oo 8 98/3
PP 12 oo 7 4
PP 12 oo 6 8
PP 12 oo 5 20/3
PP 12 oo 4 1538/9
PP 12 oo 3 2581/9
PP 12 oo 2 -64/3
PP 12 oo 1 -418/9
VERD 12 oo 330 111 9 3 NONINTEGRAL
PP 13 oo 330 -68/3
PP 13 oo 329 -2
PP 13 oo 328 -2
PP 13 oo 327 2
PP 13 oo 323 -2
PP 13 oo 321 2
PP 13 oo 320 -2
PP 13 oo 312 6
PP 13 oo 292 4
PP 13 oo 288 -6
PP 13 oo 268 -4
PP 13 oo 252 -4
PP 13 oo 240 2
PP 13 oo 220 -2
PP 13 oo 119 -479/3
PP 13 oo 118 -1/3
PP 13 oo 117 50
PP 13 oo 116 -1/3
PP 13 oo 112 2
PP 13 oo 111 -37/3
PP 13 oo 110 488/3
PP 13 oo 108 -5
PP 13 oo 107 -8
PP 13 oo 105 -637/6
PP 13 oo 102 -593/6
PP 13 oo 101 457/6
PP 13 oo 100 -397/3
PP 13 oo 99 -183/2
PP 13 oo 92 37/6
PP 13 oo 90 377/2
PP 13 oo 89 -57/2
PP 13 oo 88 4
PP 13 oo 87 247/3
PP 13 oo 86 46/3
PP 13 oo 85 68/3
PP 13 oo 83 -337/6
PP 13 oo 82 2
PP 13 oo 81 -245/6
PP 13 oo 79 -75
PP 13 oo 78 -6
PP 13 oo 76 90
PP 13 oo 75 -337/3
PP 13 oo 74 -12
PP 13 oo 73 -4
PP 13 oo 72 -8
PP 13 oo 69 -323/6
PP 13 oo 68 -14
PP 13 oo 67 4
PP 13 oo 65 -10
PP 13 oo 64 160
PP 13 oo 63 6
PP 13 oo 62 -97/6
PP 13 oo 61 -149/3
PP 13 oo 59 -2
PP 13 oo 57 473/3
PP 13 oo 56 17/2
PP 13 oo 55 12
PP 13 oo 54 -4
PP 13 oo 53 -23/6
PP 13 oo 52 -50
PP 13 oo 50 2
PP 13 oo 49 -802/3
PP 13 oo 48 659/3
PP 13 oo 47 -40
PP 13 oo 45 2
PP 13 oo 44 149/3
PP 13 oo 42 -937/6
PP 13 oo 41 -135
PP 13 oo 40 742/3
PP 13 oo 39 -52/3
PP 13 oo 38 -2
PP 13 oo 37 -45
PP 13 oo 36 -575/6
PP 13 oo 35 -637/6
PP 13 oo 34 127/3
PP 13 oo 33 353/6
PP 13 oo 32 -6
PP 13 oo 31 6
PP 13 oo 30 472/3
PP 13 oo 29 577/6
PP 13 oo 28 2
PP 13 oo 27 -623/6
PP 13 oo 26 -2
PP 13 oo 25 280
PP 13 oo 24 4
PP 13 oo 23 45
PP 13 oo 22 -4
PP 13 oo 19 -97/3
PP 13 oo 18 12
PP 13 oo 17 2
PP 13 oo 16 70
