BASE 10 61 9
PP -2 oo 188 1
PP -2 oo 168 4
PP -2 oo 167 -6
PP -2 oo 135 6
PP -2 oo 127 2
PP -2 oo 103 -1
PP -2 oo 100 7
PP -2 oo 95 4
PP -2 oo 88 -2
PP -2 oo 86 -10
PP -2 oo 81 -6
PP -2 oo 80 1
PP -2 oo 76 5
PP -2 oo 75 -1
PP -2 oo 74 -7
PP -2 oo 66 -4
PP -2 oo 60 1
PP -2 oo 56 -2
PP -2 oo 49 -5
PP -2 oo 48 -1
PP -2 oo 47 -5
PP -2 oo 46 7
PP -2 oo 42 -4
PP -2 oo 41 -8
PP -2 oo 39 3
PP -2 oo 36 3
PP -2 oo 34 -5
PP -2 oo 25 -7
PP -2 oo 22 2
PP -2 oo 20 2
PP -2 oo 19 -2
PP -2 oo 16 -7
PP -2 oo 15 -9
PP -2 oo 14 3
PP -2 oo 13 1
PP -2 oo 12 -1
PP -2 oo 9 7
PP -2 oo 5 -3
PP -2 oo 4 -2
PP -2 oo 1 -10
VERD -2 oo 188 40 1 1 INTEGRAL
PP -1 oo 225 -1
PP -1 oo 208 -1
PP -1 oo 188 2
PP -1 oo 168 7
PP -1 oo 167 -10
PP -1 oo 135 10
PP -1 oo 127 3
PP -1 oo 125 -1
PP -1 oo 103 -1
PP -1 oo 100 11
PP -1 oo 95 8
PP -1 oo 88 -3
PP -1 oo 86 -16
PP -1 oo 81 -11
PP -1 oo 80 3
PP -1 oo 76 8
PP -1 oo 75 -2
PP -1 oo 74 -10
PP -1 oo 66 -7
PP -1 oo 64 3
PP -1 oo 60 2
PP -1 oo 56 -1
PP -1 oo 52 -1
PP -1 oo 49 -10
PP -1 oo 48 -1
PP -1 oo 47 -7
PP -1 oo 46 11
PP -1 oo 42 -7
PP -1 oo 41 -11
PP -1 oo 39 6
PP -1 oo 36 4
PP -1 oo 34 -8
PP -1 oo 25 -11
PP -1 oo 22 3
PP -1 oo 20 4
PP -1 oo 19 -5
PP -1 oo 16 -8
PP -1 oo 15 -14
PP -1 oo 14 2
PP -1 oo 13 2
PP -1 oo 12 -1
PP -1 oo 9 10
PP -1 oo 5 -4
PP -1 oo 4 -4
PP -1 oo 3 1
PP -1 oo 1 -17
VERD -1 oo 225 46 1 1 INTEGRAL
PP 1 oo 610 2
PP 1 oo 588 -1
PP 1 oo 548 -22
PP 1 oo 472 -39
PP 1 oo 440 19
PP 1 oo 388 -22
PP 1 oo 305 2
PP 1 oo 208 -5
PP 1 oo 188 11
PP 1 oo 147 1
PP 1 oo 137 22
PP 1 oo 125 -4
PP 1 oo 118 39
PP 1 oo 110 -19
PP 1 oo 108 1
PP 1 oo 103 -6
PP 1 oo 100 27
PP 1 oo 97 22
PP 1 oo 95 -56
PP 1 oo 91 -1
PP 1 oo 90 4
PP 1 oo 89 3
PP 1 oo 88 -40
PP 1 oo 87 2
PP 1 oo 86 19
PP 1 oo 85 2
PP 1 oo 82 3
PP 1 oo 81 -4
PP 1 oo 80 12
PP 1 oo 79 3
PP 1 oo 78 -1
PP 1 oo 76 -39
PP 1 oo 75 -12
PP 1 oo 74 -2
PP 1 oo 72 -3
PP 1 oo 69 2
PP 1 oo 66 19
PP 1 oo 64 -3
PP 1 oo 63 4
PP 1 oo 61 -1
PP 1 oo 60 14
PP 1 oo 59 2
PP 1 oo 56 20
PP 1 oo 55 2
PP 1 oo 54 -1
PP 1 oo 53 2
PP 1 oo 52 34
PP 1 oo 51 1
PP 1 oo 50 2
PP 1 oo 49 23
PP 1 oo 48 -6
PP 1 oo 47 -61
PP 1 oo 46 7
PP 1 oo 44 2
PP 1 oo 43 3
PP 1 oo 41 25
PP 1 oo 40 2
PP 1 oo 39 -24
PP 1 oo 38 3
PP 1 oo 36 2
PP 1 oo 35 2
PP 1 oo 34 35
PP 1 oo 33 -1
PP 1 oo 31 -1
PP 1 oo 30 2
PP 1 oo 29 1
PP 1 oo 28 1
PP 1 oo 27 -1
