[1,0,-4,0,12,0,-16,0,16]
[1,0,2,4,0,8,8,0,16]
[1,-1,2,-3,8,-6,8,-8,16]
[1,-4,7,-7,7,-14,28,-32,16]
[1,4,8,16,28,32,32,32,16]
[1,2,2,0,0,0,8,16,16]
[1,3,3,6,14,12,12,24,16]
[1,1,-3,0,10,0,-12,8,16]
[1,2,2,-5,-10,-10,8,16,16]
[1,2,2,5,10,10,8,16,16]
[1,3,4,0,-4,0,16,24,16]
[1,0,-1,0,-1,0,-4,0,16]
[1,0,-1,0,8,0,-4,0,16]
[1,5,14,28,44,56,56,40,16]
[1,6,21,48,80,96,84,48,16]
[1,0,1,0,2,0,4,0,16]
[1,0,1,0,7,0,4,0,16]
[1,0,1,0,8,0,4,0,16]
[1,1,-3,-1,7,-2,-12,8,16]
[1,3,4,4,5,8,16,24,16]
[1,3,4,5,8,10,16,24,16]
[1,3,4,6,10,12,16,24,16]
[1,-1,0,2,-3,4,0,-8,16]
[1,-1,-2,1,4,2,-8,-8,16]
[1,-1,1,0,-5,0,4,-8,16]
[1,-1,1,1,-5,2,4,-8,16]
[1,-3,3,1,-5,2,12,-24,16]
[1,-4,9,-17,27,-34,36,-32,16]
[1,-6,19,-41,66,-82,76,-48,16]
[1,1,2,2,5,4,8,8,16]
[1,1,2,5,6,10,8,8,16]
[1,2,4,3,5,6,16,16,16]
[1,0,0,-1,-1,-2,0,0,16]
[1,0,0,1,-1,2,0,0,16]
[1,0,-1,-1,0,-2,-4,0,16]
[1,0,1,-3,1,-6,4,0,16]
[1,-1,2,-3,2,-6,8,-8,16]
[1,-1,2,-4,3,-8,8,-8,16]
[1,-1,2,-4,5,-8,8,-8,16]
[1,-1,2,-5,6,-10,8,-8,16]
[1,-1,3,-5,6,-10,12,-8,16]
[1,-1,4,-2,8,-4,16,-8,16]
[1,-1,4,-2,9,-4,16,-8,16]
[1,-2,1,-3,8,-6,4,-16,16]
[1,-2,1,-3,9,-6,4,-16,16]
[1,-2,1,4,-12,8,4,-16,16]
[1,-2,2,0,0,0,8,-16,16]
[1,-2,2,-1,1,-2,8,-16,16]
[1,-2,2,-5,10,-10,8,-16,16]
[1,1,0,-2,-5,-4,0,8,16]
[1,1,0,-2,-6,-4,0,8,16]
[1,1,0,-3,-4,-6,0,8,16]
[1,1,0,2,5,4,0,8,16]
[1,1,-1,0,2,0,-4,8,16]
[1,1,-1,0,3,0,-4,8,16]
[1,1,-1,-1,-1,-2,-4,8,16]
[1,1,-1,-1,1,-2,-4,8,16]
[1,1,-1,-1,2,-2,-4,8,16]
[1,1,-1,-1,3,-2,-4,8,16]
[1,1,2,0,-1,0,8,8,16]
[1,1,2,0,1,0,8,8,16]
[1,0,0,0,-6,0,0,0,16]
[1,0,0,0,-2,0,0,0,16]
[1,0,0,0,-3,0,0,0,16]
[1,0,0,0,-4,0,0,0,16]
[1,0,0,0,-5,0,0,0,16]
[1,0,0,0,-7,0,0,0,16]
[1,0,0,0,-8,0,0,0,16]
[1,0,0,0,2,0,0,0,16]
[1,0,0,0,5,0,0,0,16]
[1,0,0,0,6,0,0,0,16]
[1,0,0,0,7,0,0,0,16]
[1,0,0,0,8,0,0,0,16]
[1,0,0,-1,-3,-2,0,0,16]
[1,0,0,-1,-4,-2,0,0,16]
[1,0,0,-1,-5,-2,0,0,16]
[1,0,0,-1,1,-2,0,0,16]
[1,0,0,-1,3,-2,0,0,16]
[1,0,0,-1,5,-2,0,0,16]
[1,0,0,-1,6,-2,0,0,16]
[1,0,0,-2,-2,-4,0,0,16]
[1,0,0,-2,1,-4,0,0,16]
[1,0,0,-2,2,-4,0,0,16]
[1,0,0,-2,4,-4,0,0,16]
[1,0,0,-3,1,-6,0,0,16]
[1,0,0,-3,2,-6,0,0,16]
[1,0,0,1,-3,2,0,0,16]
[1,0,0,1,-4,2,0,0,16]
[1,0,0,1,-5,2,0,0,16]
[1,0,0,1,1,2,0,0,16]
[1,0,0,1,3,2,0,0,16]
[1,0,0,1,5,2,0,0,16]
[1,0,0,2,2,4,0,0,16]
[1,0,0,1,6,2,0,0,16]
[1,0,0,2,-2,4,0,0,16]
[1,0,0,2,1,4,0,0,16]
[1,0,0,2,4,4,0,0,16]
[1,0,0,3,1,6,0,0,16]
[1,0,0,3,2,6,0,0,16]
[1,0,-1,0,-2,0,-4,0,16]
[1,0,-1,0,-3,0,-4,0,16]
[1,0,-1,0,-4,0,-4,0,16]
[1,0,-1,0,1,0,-4,0,16]
[1,0,-1,0,2,0,-4,0,16]
[1,0,-1,0,3,0,-4,0,16]
[1,0,-1,0,5,0,-4,0,16]
[1,0,-1,0,6,0,-4,0,16]
[1,0,-1,0,7,0,-4,0,16]
[1,0,-1,-1,-1,-2,-4,0,16]
[1,0,-1,-1,1,-2,-4,0,16]
[1,0,-1,-1,2,-2,-4,0,16]
[1,0,-1,-1,3,-2,-4,0,16]
[1,0,-1,-1,4,-2,-4,0,16]
[1,0,-1,-1,5,-2,-4,0,16]
[1,0,-1,-1,6,-2,-4,0,16]
[1,0,-1,-2,3,-4,-4,0,16]
[1,0,-1,-2,4,-4,-4,0,16]
[1,0,-1,1,0,2,-4,0,16]
[1,0,-1,1,-1,2,-4,0,16]
[1,0,-1,1,1,2,-4,0,16]
[1,0,-1,1,2,2,-4,0,16]
[1,0,-1,1,3,2,-4,0,16]
[1,0,-1,1,4,2,-4,0,16]
[1,0,-1,1,5,2,-4,0,16]
[1,0,-1,1,6,2,-4,0,16]
[1,0,-1,2,3,4,-4,0,16]
[1,0,-1,2,4,4,-4,0,16]
