[1,1,-2,-7,-6,9,27]
[1,0,0,-3,0,0,27]
[1,0,2,-7,6,0,27]
[1,0,2,1,6,0,27]
[1,-1,4,-7,12,-9,27]
[1,1,-2,-8,-6,9,27]
[1,3,4,5,12,27,27]
[1,-2,-2,11,-6,-18,27]
[1,2,0,-3,0,18,27]
[1,2,0,-5,0,18,27]
[1,0,0,-7,0,0,27]
[1,0,-2,1,-6,0,27]
[1,0,0,-1,0,0,27]
[1,0,0,-5,0,0,27]
[1,0,0,-9,0,0,27]
[1,0,0,-10,0,0,27]
[1,0,0,1,0,0,27]
[1,0,0,3,0,0,27]
[1,0,0,5,0,0,27]
[1,0,0,7,0,0,27]
[1,0,0,9,0,0,27]
[1,0,0,10,0,0,27]
[1,0,-1,-2,-3,0,27]
[1,0,-1,-3,-3,0,27]
[1,0,-1,-5,-3,0,27]
[1,0,-1,-6,-3,0,27]
[1,0,-1,2,-3,0,27]
[1,0,-1,3,-3,0,27]
[1,0,-1,5,-3,0,27]
[1,0,-1,6,-3,0,27]
[1,0,6,-1,18,0,27]
[1,0,-2,0,-6,0,27]
[1,0,-2,-1,-6,0,27]
[1,0,-2,-3,-6,0,27]
[1,0,-2,3,-6,0,27]
[1,0,-3,0,-9,0,27]
[1,0,1,-5,3,0,27]
[1,0,1,-7,3,0,27]
[1,0,1,5,3,0,27]
[1,0,1,7,3,0,27]
[1,0,2,-1,6,0,27]
[1,0,2,-3,6,0,27]
[1,0,2,-5,6,0,27]
[1,0,2,3,6,0,27]
[1,0,2,5,6,0,27]
[1,0,2,7,6,0,27]
[1,0,3,-5,9,0,27]
[1,0,3,5,9,0,27]
[1,0,4,-1,12,0,27]
[1,0,4,-3,12,0,27]
[1,0,4,1,12,0,27]
[1,0,4,3,12,0,27]
[1,0,7,-1,21,0,27]
[1,0,5,-3,15,0,27]
[1,0,5,3,15,0,27]
[1,0,6,0,18,0,27]
[1,0,6,-2,18,0,27]
[1,0,6,1,18,0,27]
[1,0,6,2,18,0,27]
[1,0,7,0,21,0,27]
[1,0,7,1,21,0,27]
[1,0,8,0,24,0,27]
[1,0,9,0,27,0,27]
[1,-1,0,-1,0,-9,27]
[1,-1,0,-3,0,-9,27]
[1,-1,0,1,0,-9,27]
[1,-1,0,3,0,-9,27]
[1,-1,0,4,0,-9,27]
[1,-1,0,5,0,-9,27]
[1,-1,0,7,0,-9,27]
[1,-1,0,8,0,-9,27]
[1,-1,-1,4,-3,-9,27]
[1,-1,1,-4,3,-9,27]
[1,-1,-1,6,-3,-9,27]
[1,-1,-1,9,-3,-9,27]
[1,-1,-1,10,-3,-9,27]
[1,-1,-2,3,-6,-9,27]
[1,-1,-2,4,-6,-9,27]
[1,-1,-2,5,-6,-9,27]
[1,-1,-2,7,-6,-9,27]
[1,-1,-2,8,-6,-9,27]
[1,-1,-2,9,-6,-9,27]
[1,-1,-3,6,-9,-9,27]
[1,-1,1,6,3,-9,27]
[1,-1,2,-9,6,-9,27]
[1,-1,2,-1,6,-9,27]
[1,-1,2,-3,6,-9,27]
[1,-1,2,-5,6,-9,27]
[1,-1,2,-7,6,-9,27]
[1,-1,2,-11,6,-9,27]
[1,-1,2,1,6,-9,27]
[1,-1,2,3,6,-9,27]
[1,-1,2,4,6,-9,27]
[1,-1,3,-10,9,-9,27]
[1,-1,3,2,9,-9,27]
[1,-1,4,0,12,-9,27]
[1,-1,4,-1,12,-9,27]
[1,-1,4,-3,12,-9,27]
[1,-1,4,-5,12,-9,27]
[1,-1,4,-9,12,-9,27]
[1,-1,5,-2,15,-9,27]
[1,-2,0,7,0,-18,27]
[1,-1,5,-8,15,-9,27]
[1,-2,-1,6,-3,-18,27]
[1,-1,6,-3,18,-9,27]
[1,-1,6,-4,18,-9,27]
[1,-1,6,-5,18,-9,27]
[1,-1,6,-6,18,-9,27]
[1,-1,6,-7,18,-9,27]
[1,-1,7,-4,21,-9,27]
[1,-1,7,-5,21,-9,27]
[1,-1,7,-6,21,-9,27]
[1,-1,8,-5,24,-9,27]
[1,-1,8,-6,24,-9,27]
[1,-1,9,-6,27,-9,27]
[1,-2,-1,7,-3,-18,27]
[1,-2,0,3,0,-18,27]
[1,-2,0,5,0,-18,27]
[1,-2,-1,8,-3,-18,27]
[1,-2,-1,9,-3,-18,27]
[1,-2,-2,9,-6,-18,27]
[1,-2,-2,10,-6,-18,27]
[1,-2,-2,12,-6,-18,27]
[1,-2,-3,12,-9,-18,27]
[1,-2,1,-1,3,-18,27]
[1,-2,1,1,3,-18,27]
[1,-2,2,-1,6,-18,27]
[1,-2,2,-3,6,-18,27]
[1,-2,2,-5,6,-18,27]
[1,-2,2,1,6,-18,27]
[1,-2,2,2,6,-18,27]
[1,-2,3,-1,9,-18,27]
[1,-2,4,-2,12,-18,27]
[1,-2,4,-3,12,-18,27]
[1,-2,4,-11,12,-18,27]
[1,-2,4,-5,12,-18,27]
[1,-2,4,-7,12,-18,27]
[1,-2,4,-9,12,-18,27]
[1,-2,4,-12,12,-18,27]
[1,-2,5,-11,15,-18,27]
[1,-2,5,-13,15,-18,27]
[1,-2,6,-6,18,-18,27]
[1,-2,6,-7,18,-18,27]
[1,-2,6,-9,18,-18,27]
[1,-2,6,-10,18,-18,27]
[1,-2,6,-11,18,-18,27]
[1,-2,9,-11,27,-18,27]
[1,-2,7,-9,21,-18,27]
[1,-2,8,-10,24,-18,27]
[1,-2,8,-11,24,-18,27]
[1,-2,8,-12,24,-18,27]
[1,-2,9,-12,27,-18,27]
[1,-2,10,-12,30,-18,27]
