[SIG] 34 5 sgn=1   diag=[ -15322, 1700/7661, -17 ] det=57800 signature=(1,2)
[DIFF] 34 5 sgn=1   m=144  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=145  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=149  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=151  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=152  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=154  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=155  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=157  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=158  finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=161  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=162  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=166  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=168  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=169  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=171  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=172  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=174  finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=178  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=179  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=183  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=184  finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=185  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=186  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=188  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=189  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=190  finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=191  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=195  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=196  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=200  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=202  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=203  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=205  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=206  finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=208  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=212  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=213  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=217  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=219  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=220  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=222  finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=223  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=224  finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=225  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=229  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=230  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=234  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=236  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=237  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=238  finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=239  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=240  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=242  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=246  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=247  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=248  finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=251  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=253  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=254  finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=256  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=257  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=259  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=263  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=264  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=268  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=270  finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=271  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=273  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=274  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=276  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=280  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=281  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=285  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=286  finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=287  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=288  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=289  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=290  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=291  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=293  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=297  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=298  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=302  finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=304  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=305  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=307  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=308  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=310  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=312  finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=314  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=315  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=318  finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=319  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=321  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=322  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=324  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=325  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=327  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=331  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=332  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=334  finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=336  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=338  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=339  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=341  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=342  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=344  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=348  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=349  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=350  finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=353  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=355  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=356  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=358  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=359  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=361  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=365  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=366  finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=370  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=372  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=373  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=375  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=376  finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=378  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=382  finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=383  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=387  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=389  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=390  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=392  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=393  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=395  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=398  finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=399  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=1   m=400  finite_fail=[ 17 ] arch_fail=false
[SIG] 34 5 sgn=-1  diag=[ 15322, -1700/7661, 17 ] det=-57800 signature=(2,1)
[DIFF] 34 5 sgn=-1  m=1    finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=2    finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=4    finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=8    finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=9    finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=13   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=15   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=16   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=18   finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=19   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=21   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=25   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=26   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=30   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=32   finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=33   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=34   finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=35   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=36   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=38   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=42   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=43   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=47   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=49   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=50   finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=52   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=53   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=55   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=59   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=60   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=64   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=66   finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=67   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=69   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=70   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=72   finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=76   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=77   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=81   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=82   finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=83   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=84   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=86   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=87   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=89   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=93   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=94   finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=98   finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=100  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=101  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=103  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=104  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=106  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=110  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=111  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=114  finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=115  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=117  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=118  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=120  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=121  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=123  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=127  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=128  finite_fail=[ 2, 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=130  finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=132  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=134  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=135  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=136  finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=137  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=138  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=140  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=144  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=145  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=146  finite_fail=[ 2 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=149  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=151  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=152  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=154  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=155  finite_fail=[ 17 ] arch_fail=false
[DIFF] 34 5 sgn=-1  m=157  finite_fail=[ 17 ] arch_fail=false
