[SIG] 6 29 sgn=1   diag=[ -1302, 290/217, -174/5 ] det=60552 signature=(1,2)
[DIFF] 6 29 sgn=1   m=79   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=81   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=82   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=85   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=88   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=90   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=91   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=94   finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=97   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=100  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=103  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=106  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=109  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=110  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=112  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=115  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=117  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=118  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=120  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=121  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=124  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=126  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=127  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=130  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=133  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=136  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=139  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=142  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=144  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=145  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=148  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=151  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=154  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=157  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=158  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=160  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=163  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=166  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=169  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=171  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=172  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=174  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=175  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=178  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=181  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=184  finite_fail=[ 2, 3 ] arch_fail=false
