[SIG] 10 3 sgn=1   diag=[ -26, 180/13, -5 ] det=1800 signature=(1,2)
[DIFF] 10 3 sgn=1   m=110  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=112  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=113  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=117  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=118  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=120  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=122  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=123  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=126  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=127  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=128  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=132  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=133  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=137  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=138  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=142  finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=143  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=147  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=148  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=152  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=153  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=157  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=158  finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=162  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=163  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=167  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=168  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=172  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=173  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=174  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=175  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=177  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=178  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=182  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=183  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=184  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=187  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=188  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=190  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=192  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=193  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=197  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=198  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=1   m=200  finite_fail=[ 5 ] arch_fail=false
[SIG] 10 3 sgn=-1  diag=[ 26, -180/13, 5 ] det=-1800 signature=(2,1)
[DIFF] 10 3 sgn=-1  m=2    finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=3    finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=7    finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=8    finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=12   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=13   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=17   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=18   finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=22   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=23   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=27   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=28   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=32   finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=33   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=34   finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=37   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=38   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=42   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=43   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=47   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=48   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=50   finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=52   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=53   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=57   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=58   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=62   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=63   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=66   finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=67   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=68   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=72   finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=73   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=75   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=77   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=78   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=82   finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=83   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=87   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=88   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=92   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=93   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=97   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=98   finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=102  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=103  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=107  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=108  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=112  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=113  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=114  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=117  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=118  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=122  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=123  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=127  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=128  finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=130  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=132  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=133  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=136  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=137  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=138  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=142  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=143  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=146  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=147  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=148  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=152  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=153  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=157  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=158  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=162  finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=163  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=167  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=168  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=172  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=173  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=175  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=177  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=178  finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=182  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=183  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=187  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=188  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=192  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=193  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=194  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=197  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=198  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 3 sgn=-1  m=200  finite_fail=[ 2, 5 ] arch_fail=false
