[SIG] 6 19 sgn=1   diag=[ -262, -114/131, 114 ] det=25992 signature=(1,2)
[DIFF] 6 19 sgn=1   m=172  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=174  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=175  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=178  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=181  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=184  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=187  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=190  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=193  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=196  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=198  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=1   m=199  finite_fail=[ 3 ] arch_fail=false
[SIG] 6 19 sgn=-1  diag=[ 262, 114/131, -114 ] det=-25992 signature=(2,1)
[DIFF] 6 19 sgn=-1  m=2    finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=5    finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=8    finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=11   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=14   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=17   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=18   finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=20   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=23   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=26   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=29   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=32   finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=34   finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=35   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=38   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=41   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=44   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=45   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=47   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=50   finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=53   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=56   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=59   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=62   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=65   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=66   finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=68   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=71   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=72   finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=74   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=77   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=80   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=82   finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=83   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=86   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=89   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=92   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=95   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=98   finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=99   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=101  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=104  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=107  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=110  finite_fail=[ 3 ] arch_fail=false
