[DIFF] 10 13 sgn=1   m=162  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=163  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=167  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=168  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=172  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=173  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=174  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=175  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=177  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=178  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=182  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=183  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=184  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=187  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=188  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=190  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=192  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=193  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=197  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=198  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=200  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=202  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=203  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=206  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=207  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=208  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=1   m=212  finite_fail=[ 5 ] arch_fail=false
