BASE 38 13 9
PP -2 oo 403 -1
PP -2 oo 361 -1
PP -2 oo 72 1
PP -2 oo 71 1
PP -2 oo 69 1
PP -2 oo 65 2
PP -2 oo 63 1
PP -2 oo 59 1
PP -2 oo 58 -1
PP -2 oo 57 2
PP -2 oo 53 -1
PP -2 oo 51 2
PP -2 oo 47 -1
PP -2 oo 46 2
PP -2 oo 45 1
PP -2 oo 44 1
PP -2 oo 43 1
PP -2 oo 41 1
PP -2 oo 34 -1
PP -2 oo 32 1
PP -2 oo 29 1
PP -2 oo 28 2
PP -2 oo 22 2
PP -2 oo 21 1
PP -2 oo 15 2
PP -2 oo 14 1
PP -2 oo 12 2
PP -2 oo 11 1
PP -2 oo 7 1
PP -2 oo 6 2
PP -2 oo 5 2
PP -2 oo 2 2
PP -2 oo 1 1
VERD -2 oo 403 33 1 0 INTEGRAL
PP -1 oo 403 -1
PP -1 oo 152 -2
PP -1 oo 120 -3
PP -1 oo 104 1
PP -1 oo 100 2
PP -1 oo 87 2
PP -1 oo 73 -3
PP -1 oo 72 16
PP -1 oo 71 8
PP -1 oo 69 12
PP -1 oo 67 -4
PP -1 oo 65 24
PP -1 oo 64 2
PP -1 oo 63 -1
PP -1 oo 60 -10
PP -1 oo 59 18
PP -1 oo 58 -1
PP -1 oo 57 12
PP -1 oo 55 2
PP -1 oo 53 -2
PP -1 oo 52 -4
PP -1 oo 51 24
PP -1 oo 50 -2
PP -1 oo 48 2
PP -1 oo 47 -2
PP -1 oo 46 22
PP -1 oo 45 1
PP -1 oo 44 5
PP -1 oo 41 16
PP -1 oo 40 -10
PP -1 oo 39 6
PP -1 oo 38 2
PP -1 oo 37 2
PP -1 oo 36 -1
PP -1 oo 34 -4
PP -1 oo 33 4
PP -1 oo 32 10
PP -1 oo 31 -8
PP -1 oo 30 3
PP -1 oo 29 24
PP -1 oo 28 5
PP -1 oo 26 -1
PP -1 oo 25 -2
PP -1 oo 24 -1
PP -1 oo 23 2
PP -1 oo 22 12
PP -1 oo 21 16
PP -1 oo 20 -4
PP -1 oo 19 4
PP -1 oo 18 -4
PP -1 oo 15 26
PP -1 oo 14 14
PP -1 oo 13 4
PP -1 oo 12 36
PP -1 oo 11 1
PP -1 oo 10 24
PP -1 oo 9 1
PP -1 oo 8 -10
PP -1 oo 7 5
PP -1 oo 6 7
PP -1 oo 5 10
PP -1 oo 3 10
PP -1 oo 2 30
PP -1 oo 1 2
VERD -1 oo 403 64 1 1 INTEGRAL
PP 1 oo 494 2
PP 1 oo 456 -5
PP 1 oo 403 -10
PP 1 oo 361 -6
PP 1 oo 172 -8
PP 1 oo 144 -2
PP 1 oo 140 -6
PP 1 oo 120 -15
PP 1 oo 114 5
PP 1 oo 104 18
PP 1 oo 100 2
PP 1 oo 95 -10
PP 1 oo 92 -12
PP 1 oo 87 20
PP 1 oo 73 -2
PP 1 oo 72 64
PP 1 oo 71 30
PP 1 oo 69 48
PP 1 oo 68 19
PP 1 oo 67 -18
PP 1 oo 65 94
PP 1 oo 64 -16
PP 1 oo 63 26
PP 1 oo 60 -44
PP 1 oo 59 74
PP 1 oo 58 -12
PP 1 oo 57 42
PP 1 oo 55 4
PP 1 oo 53 -14
PP 1 oo 52 -16
PP 1 oo 51 97
PP 1 oo 50 -10
PP 1 oo 48 8
PP 1 oo 47 -26
PP 1 oo 46 86
PP 1 oo 45 10
PP 1 oo 44 28
PP 1 oo 43 8
PP 1 oo 41 64
PP 1 oo 40 -34
PP 1 oo 39 2
PP 1 oo 37 8
PP 1 oo 36 -3
PP 1 oo 35 6
PP 1 oo 34 -14
PP 1 oo 33 16
PP 1 oo 32 38
PP 1 oo 31 -34
PP 1 oo 30 15
PP 1 oo 29 93
PP 1 oo 28 22
PP 1 oo 27 3
PP 1 oo 26 -16
PP 1 oo 25 -2
PP 1 oo 24 -18
PP 1 oo 23 22
PP 1 oo 22 52
PP 1 oo 21 64
PP 1 oo 20 -18
PP 1 oo 19 16
PP 1 oo 18 -18
PP 1 oo 17 -19
PP 1 oo 16 20
PP 1 oo 15 104
PP 1 oo 14 64
PP 1 oo 13 18
PP 1 oo 12 137
PP 1 oo 11 12
PP 1 oo 10 87
PP 1 oo 9 5
PP 1 oo 8 -42
PP 1 oo 7 28
PP 1 oo 6 56
PP 1 oo 5 56
PP 1 oo 4 2
PP 1 oo 3 32
PP 1 oo 2 120
VERD 1 oo 494 77 1 2 INTEGRAL
PP 2 oo 403 -4
PP 2 oo 361 -2
PP 2 oo 324 -1
PP 2 oo 172 -2
PP 2 oo 144 -2
PP 2 oo 140 -4
PP 2 oo 120 -10
PP 2 oo 104 6
PP 2 oo 100 4
PP 2 oo 95 -2
PP 2 oo 92 -6
PP 2 oo 87 12
PP 2 oo 81 1
PP 2 oo 73 -2
PP 2 oo 72 18
PP 2 oo 71 10
PP 2 oo 69 14
PP 2 oo 68 7
PP 2 oo 67 -4
PP 2 oo 65 28
PP 2 oo 64 -4
PP 2 oo 63 8
PP 2 oo 60 -10
PP 2 oo 59 20
PP 2 oo 58 -4
PP 2 oo 57 16
PP 2 oo 55 4
PP 2 oo 53 -4
PP 2 oo 52 -4
PP 2 oo 51 28
PP 2 oo 50 -2
PP 2 oo 48 2
PP 2 oo 47 -10
PP 2 oo 46 26
PP 2 oo 45 4
PP 2 oo 44 8
PP 2 oo 43 2
PP 2 oo 41 18
PP 2 oo 40 -10
PP 2 oo 39 4
PP 2 oo 38 2
PP 2 oo 37 2
PP 2 oo 36 -3
PP 2 oo 35 4
PP 2 oo 34 -6
PP 2 oo 33 4
PP 2 oo 32 12
PP 2 oo 31 -8
PP 2 oo 30 10
