BASE 22 17 9
PP 11 oo 22 -2/3
PP 11 oo 21 5/3
PP 11 oo 20 3
PP 11 oo 19 1/3
PP 11 oo 18 18
PP 11 oo 16 -12
PP 11 oo 15 -22
PP 11 oo 14 10/3
PP 11 oo 13 13/3
PP 11 oo 12 -1/3
PP 11 oo 11 4/3
PP 11 oo 10 2/3
PP 11 oo 9 32
PP 11 oo 8 -55/3
PP 11 oo 7 7/3
PP 11 oo 5 1
PP 11 oo 4 22
PP 11 oo 3 4/3
PP 11 oo 2 4
PP 11 oo 1 -28
VERD 11 oo 374 56 3 1 NONINTEGRAL
PP 12 oo 144 2
PP 12 oo 121 -2
PP 12 oo 104 -4
PP 12 oo 103 -4
PP 12 oo 100 -6
PP 12 oo 64 -2
PP 12 oo 56 -2
PP 12 oo 55 -6
PP 12 oo 48 -2
PP 12 oo 47 2
PP 12 oo 43 -2
PP 12 oo 36 -2
PP 12 oo 34 2
PP 12 oo 32 -4
PP 12 oo 30 -4
PP 12 oo 27 2
PP 12 oo 26 4
PP 12 oo 25 6
PP 12 oo 23 -2
PP 12 oo 20 2
PP 12 oo 19 2
PP 12 oo 18 4
PP 12 oo 16 -4
PP 12 oo 15 8
PP 12 oo 14 2
PP 12 oo 13 2
PP 12 oo 8 -4
PP 12 oo 4 6
PP 12 oo 3 2
PP 12 oo 2 2
PP 12 oo 1 -6
VERD 12 oo 144 31 1 0 INTEGRAL
PP 13 oo 187 2
PP 13 oo 121 -2
PP 13 oo 54 -2/3
PP 13 oo 51 -2/3
PP 13 oo 48 2/3
PP 13 oo 46 2/3
PP 13 oo 44 2/3
PP 13 oo 43 2
PP 13 oo 41 -4/3
PP 13 oo 37 4/3
PP 13 oo 35 -2/3
PP 13 oo 32 -2/3
PP 13 oo 31 -2/3
PP 13 oo 29 -2/3
PP 13 oo 28 -4/3
PP 13 oo 27 -2/3
PP 13 oo 23 -2/3
PP 13 oo 22 -2/3
PP 13 oo 21 2/3
PP 13 oo 19 -8/3
PP 13 oo 14 -2/3
PP 13 oo 13 -2/3
PP 13 oo 12 2/3
PP 13 oo 11 -2/3
PP 13 oo 10 2/3
PP 13 oo 8 -4/3
PP 13 oo 7 4/3
PP 13 oo 4 -2
PP 13 oo 3 -2/3
PP 13 oo 2 -2
VERD 13 oo 187 30 3 0 NONINTEGRAL
PP 14 oo 374 2
PP 14 oo 280 20
PP 14 oo 236 -2
PP 14 oo 121 -10
PP 14 oo 104 -12
PP 14 oo 103 -16
PP 14 oo 70 -20
PP 14 oo 64 -6
PP 14 oo 60 2
PP 14 oo 59 2
PP 14 oo 55 -16
PP 14 oo 51 2
PP 14 oo 50 2
PP 14 oo 48 -2
PP 14 oo 47 10
PP 14 oo 43 -2
PP 14 oo 40 1
PP 14 oo 39 1
PP 14 oo 37 -1
PP 14 oo 36 -24
PP 14 oo 35 -1
PP 14 oo 32 -15
PP 14 oo 30 -12
PP 14 oo 29 1
PP 14 oo 28 1
PP 14 oo 27 1
PP 14 oo 26 12
PP 14 oo 24 2
PP 14 oo 23 -1
PP 14 oo 21 1
PP 14 oo 20 1
PP 14 oo 19 1
PP 14 oo 18 14
PP 14 oo 16 -8
PP 14 oo 15 -16
PP 14 oo 14 2
PP 14 oo 13 3
PP 14 oo 12 -1
PP 14 oo 11 2
PP 14 oo 9 24
PP 14 oo 8 -13
PP 14 oo 7 1
PP 14 oo 5 1
PP 14 oo 4 18
PP 14 oo 2 4
PP 14 oo 1 -22
VERD 14 oo 374 46 1 1 INTEGRAL
BASEVERD 22 17 oo:NONINTEGRAL all:NONINTEGRAL
DONE
