BASE 74 5 9
PP -2 oo 140 1
PP -2 oo 124 2
PP -2 oo 111 2
PP -2 oo 80 -1
PP -2 oo 79 1
PP -2 oo 68 2
PP -2 oo 56 1
PP -2 oo 55 -2
PP -2 oo 52 -1
PP -2 oo 49 -2
PP -2 oo 42 2
PP -2 oo 36 2
PP -2 oo 35 -1
PP -2 oo 32 4
PP -2 oo 22 -1
PP -2 oo 18 1
PP -2 oo 17 1
PP -2 oo 15 2
PP -2 oo 14 -1
PP -2 oo 13 -3
PP -2 oo 11 2
PP -2 oo 8 -1
PP -2 oo 6 1
PP -2 oo 5 -1
PP -2 oo 2 -2
VERD -2 oo 140 25 1 0 INTEGRAL
PP -1 oo 111 1/2
PP -1 oo 80 -1
PP -1 oo 79 3/2
PP -1 oo 76 1
PP -1 oo 68 -1
PP -1 oo 60 1
PP -1 oo 56 -1/2
PP -1 oo 55 1
PP -1 oo 52 -1/2
PP -1 oo 49 -1/2
PP -1 oo 39 -1/2
PP -1 oo 36 1/2
PP -1 oo 32 -1
PP -1 oo 31 1
PP -1 oo 24 1/2
PP -1 oo 23 -1/2
PP -1 oo 20 -1
PP -1 oo 18 1/2
PP -1 oo 17 -1
PP -1 oo 14 1/2
PP -1 oo 11 1/2
PP -1 oo 8 -1
PP -1 oo 6 -1/2
PP -1 oo 2 -1/2
VERD -1 oo 111 24 2 0 NONINTEGRAL
PP 8 oo 370 2
PP 8 oo 244 -22
PP 8 oo 185 2
PP 8 oo 140 6
PP 8 oo 124 12
PP 8 oo 96 -2
PP 8 oo 80 -6
PP 8 oo 79 42
PP 8 oo 76 2
PP 8 oo 68 8
PP 8 oo 61 22
PP 8 oo 60 4
PP 8 oo 56 16
PP 8 oo 55 12
PP 8 oo 52 24
PP 8 oo 48 2
PP 8 oo 47 2
PP 8 oo 46 2
PP 8 oo 44 2
PP 8 oo 42 -10
PP 8 oo 39 34
PP 8 oo 35 -6
PP 8 oo 32 -22
PP 8 oo 31 26
PP 8 oo 30 -2
PP 8 oo 28 2
PP 8 oo 26 4
PP 8 oo 25 2
PP 8 oo 24 12
PP 8 oo 23 -12
PP 8 oo 22 -4
PP 8 oo 21 2
PP 8 oo 20 -24
PP 8 oo 19 -2
PP 8 oo 18 -24
PP 8 oo 17 -38
PP 8 oo 15 32
PP 8 oo 14 -16
PP 8 oo 13 6
PP 8 oo 12 2
PP 8 oo 11 2
PP 8 oo 9 -2
PP 8 oo 8 12
PP 8 oo 7 2
PP 8 oo 6 -10
PP 8 oo 5 16
PP 8 oo 2 -2
PP 8 oo 1 -2
VERD 8 oo 370 48 1 1 INTEGRAL
PP 9 oo 185 2
PP 9 oo 140 6
PP 9 oo 124 12
PP 9 oo 111 12
PP 9 oo 96 -2
PP 9 oo 80 -8
PP 9 oo 79 12
PP 9 oo 76 4
PP 9 oo 74 2
PP 9 oo 68 2
PP 9 oo 60 10
PP 9 oo 56 2
PP 9 oo 55 -6
PP 9 oo 53 2
PP 9 oo 52 -10
PP 9 oo 49 -10
PP 9 oo 48 2
PP 9 oo 46 2
PP 9 oo 44 3
PP 9 oo 42 10
PP 9 oo 40 2
PP 9 oo 38 -1
PP 9 oo 37 2
PP 9 oo 36 12
PP 9 oo 35 -6
PP 9 oo 34 1
PP 9 oo 33 1
PP 9 oo 32 20
PP 9 oo 31 6
PP 9 oo 28 1
PP 9 oo 27 1
PP 9 oo 26 3
PP 9 oo 25 2
PP 9 oo 24 2
PP 9 oo 23 -2
PP 9 oo 22 -2
PP 9 oo 21 1
PP 9 oo 20 -4
PP 9 oo 19 -4
PP 9 oo 18 10
PP 9 oo 17 6
PP 9 oo 16 1
PP 9 oo 15 8
PP 9 oo 14 -2
PP 9 oo 13 -14
PP 9 oo 11 14
PP 9 oo 9 -1
PP 9 oo 8 -12
PP 9 oo 7 1
PP 9 oo 5 -6
PP 9 oo 4 1
PP 9 oo 3 -1
PP 9 oo 2 -14
PP 9 oo 1 -1
VERD 9 oo 185 54 1 1 INTEGRAL
PP 10 oo 370 2
PP 10 oo 244 -26
PP 10 oo 140 8
PP 10 oo 124 16
PP 10 oo 96 -4
PP 10 oo 80 -6
PP 10 oo 79 50
PP 10 oo 76 2
PP 10 oo 74 2
PP 10 oo 68 10
PP 10 oo 61 26
PP 10 oo 60 6
PP 10 oo 56 18
PP 10 oo 55 14
PP 10 oo 53 -2
PP 10 oo 52 30
PP 10 oo 49 2
PP 10 oo 47 2
PP 10 oo 44 -1
PP 10 oo 42 -12
PP 10 oo 40 -2
PP 10 oo 39 42
PP 10 oo 38 1
PP 10 oo 37 -2
PP 10 oo 35 -8
PP 10 oo 34 -1
PP 10 oo 33 -1
PP 10 oo 32 -26
PP 10 oo 31 32
PP 10 oo 30 -2
PP 10 oo 28 1
PP 10 oo 27 -1
PP 10 oo 26 1
PP 10 oo 24 14
PP 10 oo 23 -14
PP 10 oo 22 -6
PP 10 oo 21 1
PP 10 oo 20 -28
PP 10 oo 19 -2
PP 10 oo 18 -30
PP 10 oo 17 -48
PP 10 oo 16 -1
PP 10 oo 15 40
PP 10 oo 14 -18
PP 10 oo 13 8
PP 10 oo 12 2
PP 10 oo 9 -1
PP 10 oo 8 16
PP 10 oo 7 1
PP 10 oo 6 -10
PP 10 oo 5 18
PP 10 oo 4 -1
PP 10 oo 3 1
PP 10 oo 2 -4
PP 10 oo 1 -1
VERD 10 oo 370 55 1 1 INTEGRAL
PP 11 oo 370 2
PP 11 oo 244 -36
PP 11 oo 185 2
PP 11 oo 140 10
PP 11 oo 124 20
PP 11 oo 96 -4
PP 11 oo 80 -10
PP 11 oo 79 70
PP 11 oo 76 4
PP 11 oo 74 2
PP 11 oo 68 10
PP 11 oo 61 36
PP 11 oo 60 10
PP 11 oo 56 24
PP 11 oo 55 22
PP 11 oo 52 40
PP 11 oo 49 2
PP 11 oo 48 2
PP 11 oo 47 2
PP 11 oo 46 2
PP 11 oo 44 2
PP 11 oo 42 -18
PP 11 oo 39 56
PP 11 oo 35 -10
PP 11 oo 32 -38
PP 11 oo 31 44
PP 11 oo 30 -2
PP 11 oo 28 2
PP 11 oo 26 4
PP 11 oo 25 2
PP 11 oo 24 20
PP 11 oo 23 -20
PP 11 oo 22 -6
