BASE 69 2 9
PP -2 oo 62 -1/2
PP -2 oo 59 -1/2
PP -2 oo 54 -1/2
PP -2 oo 50 -1/2
PP -2 oo 47 -1/2
PP -2 oo 41 1
PP -2 oo 36 1/2
PP -2 oo 26 -1/2
PP -2 oo 23 1
PP -2 oo 22 8349577407539566919983007054070853541/64
PP -2 oo 21 -12291287825405019495296952533949597165/64
PP -2 oo 20 597021377979992085012580474636854467/8
PP -2 oo 19 -492713802233181571914243184984842953/8
PP -2 oo 17 -6749128624353347409246147443410298781/64
PP -2 oo 15 20105339181540241853061525198903223979/64
PP -2 oo 14 -3023095576415393868398109616422891063/32
PP -2 oo 11 361127690620789743444927245984888607/4
PP -2 oo 10 -20105339181540241853061525198903223979/64
PP -2 oo 9 -1/2
PP -2 oo 8 3/2
PP -2 oo 7 16163628763674789277747579719024480355/64
PP -2 oo 6 5/2
PP -2 oo 5 13293159851497718710315144672612979141/64
PP -2 oo 4 -1/2
PP -2 oo 3 1
PP -2 oo 2 2
PP -2 oo 1 -1/2
VERD -2 oo 62 27 64 37 NONINTEGRAL
PP -2 0 207 -1
PP -2 0 69 -3
VERD -2 0 207 2 1 0 INTEGRAL
PP -1 oo 62 -1/4
PP -1 oo 59 -1/2
PP -1 oo 50 -1/4
PP -1 oo 47 -1/2
PP -1 oo 41 -1/2
PP -1 oo 36 1
PP -1 oo 26 -1/4
PP -1 oo 23 1
PP -1 oo 22 -8349577407539566919983016100879318061/64
PP -1 oo 21 12291287825405019495296965847312673925/64
PP -1 oo 20 -597021377979992085012581116371943327/8
PP -1 oo 19 492713802233181571914243718304169483/8
PP -1 oo 18 1
PP -1 oo 17 6749128624353347409246154719135840021/64
PP -1 oo 15 -20105339181540241853061546982046987459/64
PP -1 oo 14 3023095576415393868398112792998423383/32
PP -1 oo 11 -361127690620789743444927642656982885/4
PP -1 oo 10 20105339181540241853061546982046987459/64
PP -1 oo 8 5/2
PP -1 oo 7 -16163628763674789277747597235613631595/64
PP -1 oo 5 -13293159851497718710315159198848853469/64
PP -1 oo 4 -1
PP -1 oo 3 1
PP -1 oo 2 -5/4
PP -1 oo 1 -2
VERD -1 oo 62 25 64 37 NONINTEGRAL
PP -1 0 207 1
PP -1 0 69 -2
VERD -1 0 207 2 1 0 INTEGRAL
PP 8 oo 138 2
PP 8 oo 69 2
PP 8 oo 54 1
PP 8 oo 47 -7
PP 8 oo 41 3
PP 8 oo 35 -6
PP 8 oo 32 7
PP 8 oo 29 4
PP 8 oo 27 -5
PP 8 oo 26 5
PP 8 oo 23 6
PP 8 oo 22 -8349577409209078361255837104966497829/32
PP 8 oo 21 12291287827862682276691978874839407325/32
PP 8 oo 20 -597021378099367467584302873212620071/4
PP 8 oo 19 492713802331700489429517721234113695/4
PP 8 oo 18 11
PP 8 oo 17 6749128625702846521156407073799826093/32
PP 8 oo 15 -20105339185560336779987898695743867115/32
PP 8 oo 14 3023095577019866640572602325041237615/16
PP 8 oo 11 -361127690692997809247749333824020287/2
PP 8 oo 10 20105339185560336779987898695743867051/32
PP 8 oo 9 -5
PP 8 oo 8 4
PP 8 oo 7 -16163628766906732864551756925870957555/32
PP 8 oo 6 1
PP 8 oo 5 -13293159854155707483981545230322771349/32
PP 8 oo 3 5
PP 8 oo 2 -2
PP 8 oo 1 -9
VERD 8 oo 138 29 32 37 NONINTEGRAL
PP 8 0 207 2
PP 8 0 138 -6
PP 8 0 69 -10
VERD 8 0 207 3 1 1 INTEGRAL
PP 9 oo 69 2
PP 9 oo 62 1
PP 9 oo 59 -1
PP 9 oo 54 -1
PP 9 oo 50 -3
PP 9 oo 47 -3
PP 9 oo 46 2
PP 9 oo 41 -2
PP 9 oo 36 3
PP 9 oo 27 -2
PP 9 oo 26 1
PP 9 oo 22 -8349577407539566919983021528964396773/32
PP 9 oo 21 12291287825405019495296973835330519981/32
PP 9 oo 20 -597021377979992085012581501412996643/4
PP 9 oo 19 492713802233181571914244038295765393/4
PP 9 oo 18 6
PP 9 oo 17 6749128624353347409246159084571164765/32
PP 9 oo 15 -20105339181540241853061560051933245547/32
PP 9 oo 14 3023095576415393868398114698943742775/16
PP 9 oo 11 -361127690620789743444927880660239439/2
PP 9 oo 10 20105339181540241853061560051933245547/32
PP 9 oo 9 -1
PP 9 oo 8 5
PP 9 oo 7 -16163628763674789277747607745567122403/32
PP 9 oo 6 1
PP 9 oo 5 -13293159851497718710315167914590377925/32
PP 9 oo 4 -3
PP 9 oo 3 2
PP 9 oo 2 -6
PP 9 oo 1 -9
VERD 9 oo 69 30 32 37 NONINTEGRAL
PP 9 0 207 2
PP 9 0 69 -10
VERD 9 0 207 2 1 1 INTEGRAL
PP 10 oo 138 2
PP 10 oo 54 1
PP 10 oo 47 -15/2
PP 10 oo 46 2
PP 10 oo 41 3
PP 10 oo 35 -13/2
PP 10 oo 32 13/2
PP 10 oo 29 7/2
PP 10 oo 27 -7
PP 10 oo 26 17/2
PP 10 oo 23 3
PP 10 oo 22 -8349577408374322640619424793561215041/16
PP 10 oo 21 12291287826633850885994469698403425273/16
PP 10 oo 20 -597021378039679776298441866445263927/2
PP 10 oo 19 492713802282441030671880613105276279/2
PP 10 oo 18 11
PP 10 oo 17 6749128625028096965201279441322724809/16
PP 10 oo 15 -20105339183550289316524718482266674591/16
PP 10 oo 14 3023095576717630254485356923704724035/8
PP 10 oo 11 -361127690656893776346338408906082729
PP 10 oo 10 20105339183550289316524718482266674623/16
PP 10 oo 9 -1
PP 10 oo 8 5/2
PP 10 oo 7 -16163628765290761071149673577424464359/16
PP 10 oo 6 1
PP 10 oo 5 -13293159852826713097148349309338637489/16
PP 10 oo 3 3
PP 10 oo 2 -1
PP 10 oo 1 -9
VERD 10 oo 138 29 16 37 NONINTEGRAL
PP 10 0 207 4
PP 10 0 138 -6
PP 10 0 69 -10
VERD 10 0 207 3 1 1 INTEGRAL
PP 11 oo 138 2
PP 11 oo 69 2
PP 11 oo 54 1
PP 11 oo 47 -17/2
PP 11 oo 46 2
PP 11 oo 41 3
PP 11 oo 35 -15/2
PP 11 oo 32 15/2
PP 11 oo 29 9/2
PP 11 oo 27 -7
PP 11 oo 26 15/2
PP 11 oo 23 5
PP 11 oo 22 -8349577408374322640619424793561215041/16
PP 11 oo 21 12291287826633850885994469698403425273/16
PP 11 oo 20 -597021378039679776298441866445263927/2
PP 11 oo 19 492713802282441030671880613105276279/2
PP 11 oo 18 13
PP 11 oo 17 6749128625028096965201279441322724809/16
PP 11 oo 15 -20105339183550289316524718482266674591/16
PP 11 oo 14 3023095576717630254485356923704724035/8
PP 11 oo 11 -361127690656893776346338408906082729
PP 11 oo 10 20105339183550289316524718482266674591/16
PP 11 oo 9 -3
PP 11 oo 8 7/2
PP 11 oo 7 -16163628765290761071149673577424464359/16
PP 11 oo 6 -1
PP 11 oo 5 -13293159852826713097148349309338637521/16
PP 11 oo 3 3
PP 11 oo 2 -3
PP 11 oo 1 -11
VERD 11 oo 138 30 16 37 NONINTEGRAL
PP 11 0 207 4
PP 11 0 138 -6
PP 11 0 69 -10
VERD 11 0 207 3 1 1 INTEGRAL
PP 12 oo 59 -1
PP 12 oo 54 -1
PP 12 oo 50 -2
PP 12 oo 47 -3
PP 12 oo 46 2
PP 12 oo 36 3
PP 12 oo 27 -2
PP 12 oo 26 2
PP 12 oo 22 -8349577407539566919983021528964396773/32
PP 12 oo 21 12291287825405019495296973835330519981/32
PP 12 oo 20 -597021377979992085012581501412996643/4
PP 12 oo 19 492713802233181571914244038295765393/4
PP 12 oo 18 4
PP 12 oo 17 6749128624353347409246159084571164765/32
PP 12 oo 15 -20105339181540241853061560051933245547/32
PP 12 oo 14 3023095576415393868398114698943742775/16
PP 12 oo 11 -361127690620789743444927880660239443/2
PP 12 oo 10 20105339181540241853061560051933245611/32
PP 12 oo 9 1
PP 12 oo 8 5
PP 12 oo 7 -16163628763674789277747607745567122403/32
PP 12 oo 6 3
PP 12 oo 5 -13293159851497718710315167914590377925/32
PP 12 oo 4 -3
PP 12 oo 3 2
PP 12 oo 2 -1
PP 12 oo 1 -7
VERD 12 oo 59 27 32 37 NONINTEGRAL
PP 12 0 207 2
PP 12 0 69 -10
VERD 12 0 207 2 1 1 INTEGRAL
PP 13 oo 69 2
PP 13 oo 59 -1
PP 13 oo 54 -1
PP 13 oo 50 -2
PP 13 oo 47 -1
PP 13 oo 36 1
PP 13 oo 26 -2
PP 13 oo 23 2
PP 13 oo 22 8349577407539566919983007054070853541/32
PP 13 oo 21 -12291287825405019495296952533949597165/32
PP 13 oo 20 597021377979992085012580474636854467/4
PP 13 oo 19 -492713802233181571914243184984842953/4
PP 13 oo 18 2
PP 13 oo 17 -6749128624353347409246147443410298781/32
PP 13 oo 15 20105339181540241853061525198903223979/32
PP 13 oo 14 -3023095576415393868398109616422891063/16
PP 13 oo 11 361127690620789743444927245984888611/2
PP 13 oo 10 -20105339181540241853061525198903224043/32
PP 13 oo 9 -3
PP 13 oo 8 3
PP 13 oo 7 16163628763674789277747579719024480355/32
PP 13 oo 6 3
PP 13 oo 5 13293159851497718710315144672612979141/32
PP 13 oo 4 -1
PP 13 oo 3 2
PP 13 oo 2 -1
PP 13 oo 1 -3
VERD 13 oo 69 27 32 37 NONINTEGRAL
PP 13 0 207 -2
PP 13 0 69 -6
VERD 13 0 207 2 1 0 INTEGRAL
PP 14 oo 138 2
PP 14 oo 54 2
PP 14 oo 47 -5
PP 14 oo 35 -5
PP 14 oo 32 5
PP 14 oo 29 1
PP 14 oo 27 -4
PP 14 oo 26 5
PP 14 oo 23 4
PP 14 oo 22 -8349577408096070733740619483518325509/16
PP 14 oo 21 12291287826224240422428631531143021021/16
PP 14 oo 20 -597021378019783879203154778624800031/2
PP 14 oo 19 492713802266021211086001505953086943/2
PP 14 oo 18 8
PP 14 oo 17 6749128624803180446549569260400285549/16
PP 14 oo 15 -20105339182880273495370322173355108619/16
PP 14 oo 14 3023095576616884792456274699715815199/8
PP 14 oo 11 -361127690644859098712534714377157643
PP 14 oo 10 20105339182880273495370322173355108619/16
PP 14 oo 9 -2
PP 14 oo 8 3
PP 14 oo 7 -16163628764752103806682310125730413075/16
PP 14 oo 6 -2
PP 14 oo 5 -13293159852383714968203948732179143029/16
PP 14 oo 3 2
PP 14 oo 2 -4
PP 14 oo 1 -6
VERD 14 oo 138 27 16 37 NONINTEGRAL
PP 14 0 207 4
PP 14 0 138 -4
PP 14 0 69 -4
VERD 14 0 207 3 1 0 INTEGRAL
BASEVERD 69 2 oo:NONINTEGRAL all:NONINTEGRAL
DONE
