BASE 82 3 9
PP -2 oo 123 2
PP -2 oo 120 -4/3
PP -2 oo 116 -2
PP -2 oo 112 -8/3
PP -2 oo 111 -10/3
PP -2 oo 109 2
PP -2 oo 104 2/3
PP -2 oo 95 -2/3
PP -2 oo 52 -2/3
PP -2 oo 47 -2/3
PP -2 oo 33 -1
PP -2 oo 32 -4
PP -2 oo 31 1
PP -2 oo 30 4/3
PP -2 oo 29 2
PP -2 oo 28 -2/3
PP -2 oo 26 -2/3
PP -2 oo 24 -2/3
PP -2 oo 23 -2
PP -2 oo 22 2
PP -2 oo 21 -1
PP -2 oo 20 1
PP -2 oo 19 8/3
PP -2 oo 18 1
PP -2 oo 15 -14/3
PP -2 oo 12 -4
PP -2 oo 9 -1
PP -2 oo 8 -1
PP -2 oo 7 2/3
PP -2 oo 6 2/3
PP -2 oo 5 -2
PP -2 oo 4 -1
PP -2 oo 3 -2
PP -2 oo 2 1
PP -2 oo 1 -1
VERD -2 oo 123 35 3 1 NONINTEGRAL
PP -1 oo 120 -2
PP -1 oo 112 1
PP -1 oo 111 -4
PP -1 oo 109 7/2
PP -1 oo 104 -3
PP -1 oo 97 7/2
PP -1 oo 96 1
PP -1 oo 52 1
PP -1 oo 48 -3
PP -1 oo 47 1
PP -1 oo 44 -1
PP -1 oo 34 17/2
PP -1 oo 30 2
PP -1 oo 28 -5
PP -1 oo 26 3
PP -1 oo 24 -3
PP -1 oo 22 -2
PP -1 oo 19 -9
PP -1 oo 15 2
PP -1 oo 13 1/2
PP -1 oo 12 -1
PP -1 oo 11 1
PP -1 oo 7 -3
PP -1 oo 6 4
PP -1 oo 3 -2
VERD -1 oo 120 25 2 1 NONINTEGRAL
PP 8 oo 246 2
PP 8 oo 123 2
PP 8 oo 108 2
PP 8 oo 96 2
PP 8 oo 85 4
PP 8 oo 71 -14
PP 8 oo 68 -2
PP 8 oo 63 -20
PP 8 oo 60 6
PP 8 oo 56 6
PP 8 oo 55 4
PP 8 oo 52 -18
PP 8 oo 48 -12
PP 8 oo 47 -2
PP 8 oo 44 -4
PP 8 oo 34 4
PP 8 oo 33 -3/2
PP 8 oo 32 -7
PP 8 oo 31 3/2
PP 8 oo 28 -4
PP 8 oo 27 -2
PP 8 oo 25 -1
PP 8 oo 24 -8
PP 8 oo 23 -5
PP 8 oo 22 -6
PP 8 oo 21 -3/2
PP 8 oo 20 -1/2
PP 8 oo 19 -2
PP 8 oo 18 1/2
PP 8 oo 17 2
PP 8 oo 15 -6
PP 8 oo 14 -6
PP 8 oo 13 10
PP 8 oo 12 -10
PP 8 oo 11 4
PP 8 oo 10 -1
PP 8 oo 9 -5/2
PP 8 oo 8 -5/2
PP 8 oo 7 -8
PP 8 oo 6 8
PP 8 oo 5 -4
PP 8 oo 4 -1/2
PP 8 oo 3 -8
PP 8 oo 2 5/2
PP 8 oo 1 -5/2
VERD 8 oo 246 45 2 1 NONINTEGRAL
PP 9 oo 123 2
PP 9 oo 120 -4/3
PP 9 oo 116 -2
PP 9 oo 112 -8/3
PP 9 oo 111 -10/3
PP 9 oo 109 2
PP 9 oo 104 2/3
PP 9 oo 95 -2/3
PP 9 oo 52 -2/3
PP 9 oo 47 -2/3
PP 9 oo 33 -1
PP 9 oo 32 -4
PP 9 oo 31 1
PP 9 oo 30 4/3
PP 9 oo 29 2
PP 9 oo 28 -2/3
PP 9 oo 26 -2/3
PP 9 oo 24 -2/3
PP 9 oo 23 -2
PP 9 oo 22 2
PP 9 oo 21 -1
PP 9 oo 20 1
PP 9 oo 19 8/3
PP 9 oo 18 1
PP 9 oo 15 -14/3
PP 9 oo 12 -4
PP 9 oo 9 -1
PP 9 oo 8 -1
PP 9 oo 7 2/3
PP 9 oo 6 2/3
PP 9 oo 5 -2
PP 9 oo 4 -1
PP 9 oo 3 -2
PP 9 oo 2 1
PP 9 oo 1 -1
VERD 9 oo 123 35 3 1 NONINTEGRAL
PP 10 oo 246 2
PP 10 oo 108 2
PP 10 oo 96 2
PP 10 oo 85 6
PP 10 oo 71 -12
PP 10 oo 67 4
PP 10 oo 63 -18
PP 10 oo 60 6
PP 10 oo 56 6
PP 10 oo 55 2
PP 10 oo 52 -12
PP 10 oo 48 -12
PP 10 oo 44 -4
PP 10 oo 34 8
PP 10 oo 33 -1/2
PP 10 oo 32 -3
PP 10 oo 31 1/2
PP 10 oo 28 -6
PP 10 oo 27 -2
PP 10 oo 25 -1
PP 10 oo 24 -8
PP 10 oo 23 -3
PP 10 oo 21 -1/2
PP 10 oo 20 -3/2
PP 10 oo 18 -1/2
PP 10 oo 15 -8
PP 10 oo 14 -6
PP 10 oo 13 10
PP 10 oo 12 -6
PP 10 oo 11 4
PP 10 oo 10 -1
PP 10 oo 9 -3/2
PP 10 oo 8 -3/2
PP 10 oo 7 -16
PP 10 oo 6 8
PP 10 oo 5 -2
PP 10 oo 4 1/2
PP 10 oo 3 -6
PP 10 oo 2 3/2
PP 10 oo 1 -3/2
VERD 10 oo 246 40 2 1 NONINTEGRAL
PP 11 oo 246 2
PP 11 oo 123 2
PP 11 oo 108 4
PP 11 oo 96 2
PP 11 oo 85 8
PP 11 oo 71 -22
PP 11 oo 68 -4
PP 11 oo 63 -30
PP 11 oo 60 10
PP 11 oo 56 8
PP 11 oo 55 4
PP 11 oo 52 -26
PP 11 oo 48 -18
PP 11 oo 47 -4
PP 11 oo 44 -6
PP 11 oo 41 2
PP 11 oo 34 10
PP 11 oo 33 -3/2
PP 11 oo 32 -5
PP 11 oo 31 3/2
PP 11 oo 28 -10
PP 11 oo 27 -4
PP 11 oo 25 -1
PP 11 oo 24 -12
PP 11 oo 23 -5
PP 11 oo 22 -8
PP 11 oo 21 -3/2
PP 11 oo 20 -1/2
PP 11 oo 19 -2
PP 11 oo 18 1/2
PP 11 oo 17 4
PP 11 oo 15 -10
PP 11 oo 14 -8
PP 11 oo 13 14
PP 11 oo 12 -16
PP 11 oo 11 6
PP 11 oo 10 -1
PP 11 oo 9 -5/2
PP 11 oo 8 -5/2
PP 11 oo 7 -16
PP 11 oo 6 10
PP 11 oo 5 -2
PP 11 oo 4 -1/2
PP 11 oo 3 -14
PP 11 oo 2 5/2
PP 11 oo 1 -5/2
VERD 11 oo 246 46 2 1 NONINTEGRAL
PP 12 oo 120 -10
PP 12 oo 116 -2
PP 12 oo 112 4
PP 12 oo 111 -20
PP 12 oo 109 13
PP 12 oo 108 2
PP 12 oo 104 -10
PP 12 oo 97 9
PP 12 oo 96 2
PP 12 oo 95 -2
PP 12 oo 60 4
PP 12 oo 48 -12
PP 12 oo 47 4
PP 12 oo 44 -4
PP 12 oo 41 2
PP 12 oo 34 29
PP 12 oo 32 2
PP 12 oo 30 10
PP 12 oo 29 2
PP 12 oo 28 -18
PP 12 oo 27 -2
PP 12 oo 26 10
PP 12 oo 24 -12
PP 12 oo 22 -6
PP 12 oo 19 -28
PP 12 oo 15 -2
PP 12 oo 13 3
PP 12 oo 12 -8
PP 12 oo 11 4
PP 12 oo 7 -6
PP 12 oo 6 12
PP 12 oo 5 2
PP 12 oo 3 -10
VERD 12 oo 120 33 1 1 INTEGRAL
PP 13 oo 123 2
PP 13 oo 120 -12
PP 13 oo 116 -4
PP 13 oo 112 2
PP 13 oo 111 -24
PP 13 oo 109 16
PP 13 oo 108 2
PP 13 oo 104 -10
PP 13 oo 97 10
PP 13 oo 96 2
PP 13 oo 95 -2
PP 13 oo 60 4
PP 13 oo 48 -12
PP 13 oo 47 4
PP 13 oo 44 -4
PP 13 oo 41 2
PP 13 oo 34 32
PP 13 oo 33 -1
PP 13 oo 32 -2
PP 13 oo 31 1
PP 13 oo 30 12
PP 13 oo 29 4
PP 13 oo 28 -20
PP 13 oo 27 -2
PP 13 oo 26 10
PP 13 oo 24 -14
PP 13 oo 23 -2
PP 13 oo 22 -4
PP 13 oo 21 -1
PP 13 oo 20 1
PP 13 oo 19 -28
PP 13 oo 18 1
PP 13 oo 15 -6
PP 13 oo 13 4
PP 13 oo 12 -12
PP 13 oo 11 4
PP 13 oo 9 -1
PP 13 oo 8 -1
PP 13 oo 7 -6
PP 13 oo 6 14
PP 13 oo 4 -1
PP 13 oo 3 -12
PP 13 oo 2 1
PP 13 oo 1 -1
VERD 13 oo 123 44 1 1 INTEGRAL
PP 14 oo 246 2
PP 14 oo 108 4
PP 14 oo 96 2
PP 14 oo 85 10
PP 14 oo 71 -20
PP 14 oo 68 -2
PP 14 oo 67 4
PP 14 oo 63 -28
PP 14 oo 60 10
PP 14 oo 56 8
PP 14 oo 55 2
PP 14 oo 52 -20
PP 14 oo 48 -18
PP 14 oo 47 -2
PP 14 oo 44 -6
PP 14 oo 41 2
PP 14 oo 34 14
PP 14 oo 33 -1/2
PP 14 oo 32 -1
PP 14 oo 31 1/2
PP 14 oo 28 -12
PP 14 oo 27 -4
PP 14 oo 25 -1
PP 14 oo 24 -12
PP 14 oo 23 -3
PP 14 oo 22 -2
PP 14 oo 21 -1/2
PP 14 oo 20 -3/2
PP 14 oo 18 -1/2
PP 14 oo 17 2
PP 14 oo 15 -12
PP 14 oo 14 -8
PP 14 oo 13 14
PP 14 oo 12 -12
PP 14 oo 11 6
PP 14 oo 10 -1
PP 14 oo 9 -3/2
PP 14 oo 8 -3/2
PP 14 oo 7 -24
PP 14 oo 6 10
PP 14 oo 4 1/2
PP 14 oo 3 -12
PP 14 oo 2 3/2
PP 14 oo 1 -3/2
VERD 14 oo 246 44 2 1 NONINTEGRAL
BASEVERD 82 3 oo:NONINTEGRAL all:NONINTEGRAL
DONE
