BASE 51 2 9
PP -2 oo 102 2
PP -2 oo 45 1
PP -2 oo 29 2
PP -2 oo 27 -1
PP -2 oo 23 -1
PP -2 oo 20 -2
PP -2 oo 19 -7500475132521613589483642789524246982645/6
PP -2 oo 18 7534449234869097364298065723542918402974/3
PP -2 oo 17 -37114680398678440531591290550934290213/2
PP -2 oo 16 -7446986673130995914827257194442076403819/6
PP -2 oo 15 8900134893705878261346993168776521440
PP -2 oo 14 -37114680398678440531591290550934290217/2
PP -2 oo 13 -7500387482493231184395339153454735532459/6
PP -2 oo 9 7561149639550214999082106703049247967288/3
PP -2 oo 8 -37114680398678440531591290550934290221/2
PP -2 oo 5 -37114680398678440531591290550934290217/2
PP -2 oo 4 -7447074323159378319915560830511587854005/6
PP -2 oo 3 -3
PP -2 oo 2 7561149639550214999082106703049247967294/3
PP -2 oo 1 -15034880542376519751237556695032409660532/3
VERD -2 oo 102 20 6 40 NONINTEGRAL
PP -2 0 153 2
VERD -2 0 153 1 1 0 INTEGRAL
PP -1 oo 45 -2
PP -1 oo 29 3/2
PP -1 oo 23 -1/2
PP -1 oo 19 7500475132521613589483642789524246982645/6
PP -1 oo 18 -7534449234869097364298065723542918402974/3
PP -1 oo 17 37114680398678440531591290550934290213/2
PP -1 oo 16 7446986673130995914827257194442076403819/6
PP -1 oo 15 -8900134893705878261346993168776521440
PP -1 oo 14 37114680398678440531591290550934290223/2
PP -1 oo 13 7500387482493231184395339153454735532459/6
PP -1 oo 11 -1/2
PP -1 oo 9 -7561149639550214999082106703049247967294/3
PP -1 oo 8 37114680398678440531591290550934290213/2
PP -1 oo 6 2
PP -1 oo 5 37114680398678440531591290550934290229/2
PP -1 oo 4 7447074323159378319915560830511587854005/6
PP -1 oo 2 -7561149639550214999082106703049247967294/3
PP -1 oo 1 15034880542376519751237556695032409660526/3
VERD -1 oo 45 18 6 40 NONINTEGRAL
PP -1 0 153 -2
VERD -1 0 153 1 1 0 INTEGRAL
PP 9 oo 102 2
PP 9 oo 51 2
PP 9 oo 45 -4
PP 9 oo 29 5
PP 9 oo 27 -2
PP 9 oo 23 -3
PP 9 oo 20 -4
PP 9 oo 19 7500475132521613589483642789524246982645/3
PP 9 oo 18 -15068898469738194728596131447085836805948/3
PP 9 oo 17 37114680398678440531591290550934290213
PP 9 oo 16 7446986673130995914827257194442076403819/3
PP 9 oo 15 -17800269787411756522693986337553042880
PP 9 oo 14 37114680398678440531591290550934290223
PP 9 oo 13 7500387482493231184395339153454735532459/3
PP 9 oo 11 -1
PP 9 oo 9 -15122299279100429998164213406098495934600/3
PP 9 oo 8 37114680398678440531591290550934290207
PP 9 oo 6 2
PP 9 oo 5 37114680398678440531591290550934290229
PP 9 oo 4 7447074323159378319915560830511587853999/3
PP 9 oo 3 -4
PP 9 oo 2 -15122299279100429998164213406098495934594/3
PP 9 oo 1 30069761084753039502475113390064819321046/3
VERD 9 oo 102 23 3 40 NONINTEGRAL
PP 9 0 153 -4
VERD 9 0 153 1 1 0 INTEGRAL
PP 10 oo 51 2
PP 10 oo 45 -2
PP 10 oo 34 2
PP 10 oo 29 3
PP 10 oo 27 -2
PP 10 oo 23 -3
PP 10 oo 20 -4
PP 10 oo 19 7500475132521613589483642789524246982645/3
PP 10 oo 18 -15068898469738194728596131447085836805948/3
PP 10 oo 17 37114680398678440531591290550934290213
PP 10 oo 16 7446986673130995914827257194442076403819/3
PP 10 oo 15 -17800269787411756522693986337553042880
PP 10 oo 14 37114680398678440531591290550934290219
PP 10 oo 13 7500387482493231184395339153454735532465/3
PP 10 oo 11 -1
PP 10 oo 9 -15122299279100429998164213406098495934594/3
PP 10 oo 8 37114680398678440531591290550934290211
PP 10 oo 5 37114680398678440531591290550934290223
PP 10 oo 4 7447074323159378319915560830511587853999/3
PP 10 oo 3 -4
PP 10 oo 2 -15122299279100429998164213406098495934594/3
PP 10 oo 1 30069761084753039502475113390064819321058/3
VERD 10 oo 51 22 3 40 NONINTEGRAL
PP 10 0 153 -4
VERD 10 0 153 1 1 0 INTEGRAL
PP 11 oo 102 2
PP 11 oo 34 2
PP 11 oo 29 5
PP 11 oo 27 -2
PP 11 oo 23 -3
PP 11 oo 20 -4
PP 11 oo 14 2
PP 11 oo 13 2
PP 11 oo 11 -1
PP 11 oo 9 -2
PP 11 oo 8 -4
PP 11 oo 6 2
PP 11 oo 5 6
PP 11 oo 3 -6
VERD 11 oo 102 14 1 0 INTEGRAL
PP 12 oo 102 2
PP 12 oo 51 2
PP 12 oo 45 -1
PP 12 oo 34 2
PP 12 oo 29 5
PP 12 oo 27 -3
PP 12 oo 23 -4
PP 12 oo 20 -6
PP 12 oo 19 7500475132521613589483642789524246982645/6
PP 12 oo 18 -7534449234869097364298065723542918402974/3
PP 12 oo 17 37114680398678440531591290550934290213/2
PP 12 oo 16 7446986673130995914827257194442076403819/6
PP 12 oo 15 -8900134893705878261346993168776521440
PP 12 oo 14 37114680398678440531591290550934290221/2
PP 12 oo 13 7500387482493231184395339153454735532471/6
PP 12 oo 11 -1
PP 12 oo 9 -7561149639550214999082106703049247967306/3
PP 12 oo 8 37114680398678440531591290550934290201/2
PP 12 oo 5 37114680398678440531591290550934290229/2
PP 12 oo 4 7447074323159378319915560830511587853993/6
PP 12 oo 3 -7
PP 12 oo 2 -7561149639550214999082106703049247967300/3
PP 12 oo 1 15034880542376519751237556695032409660526/3
VERD 12 oo 102 23 6 40 NONINTEGRAL
PP 12 0 153 -2
VERD 12 0 153 1 1 0 INTEGRAL
PP 13 oo 45 -1
PP 13 oo 34 2
PP 13 oo 29 3
PP 13 oo 27 -1
PP 13 oo 23 -2
PP 13 oo 20 -2
PP 13 oo 19 7500475132521613589483642789524246982645/6
PP 13 oo 18 -7534449234869097364298065723542918402974/3
PP 13 oo 17 37114680398678440531591290550934290213/2
PP 13 oo 16 7446986673130995914827257194442076403819/6
PP 13 oo 15 -8900134893705878261346993168776521440
PP 13 oo 14 37114680398678440531591290550934290221/2
PP 13 oo 13 7500387482493231184395339153454735532471/6
PP 13 oo 11 -1
PP 13 oo 9 -7561149639550214999082106703049247967294/3
PP 13 oo 8 37114680398678440531591290550934290213/2
PP 13 oo 6 2
PP 13 oo 5 37114680398678440531591290550934290229/2
PP 13 oo 4 7447074323159378319915560830511587854005/6
PP 13 oo 3 -3
PP 13 oo 2 -7561149639550214999082106703049247967294/3
PP 13 oo 1 15034880542376519751237556695032409660532/3
VERD 13 oo 45 22 6 40 NONINTEGRAL
PP 13 0 153 -2
VERD 13 0 153 1 1 0 INTEGRAL
PP 14 oo 51 2
PP 14 oo 45 -5
PP 14 oo 29 3
PP 14 oo 27 -1
PP 14 oo 23 -2
PP 14 oo 20 -2
PP 14 oo 19 7500475132521613589483642789524246982645/2
PP 14 oo 18 -7534449234869097364298065723542918402974
PP 14 oo 17 111344041196035321594773871652802870639/2
PP 14 oo 16 7446986673130995914827257194442076403819/2
PP 14 oo 15 -26700404681117634784040979506329564320
PP 14 oo 14 111344041196035321594773871652802870663/2
PP 14 oo 13 7500387482493231184395339153454735532459/2
PP 14 oo 11 -1
PP 14 oo 9 -7561149639550214999082106703049247967296
PP 14 oo 8 111344041196035321594773871652802870635/2
PP 14 oo 6 2
PP 14 oo 5 111344041196035321594773871652802870675/2
PP 14 oo 4 7447074323159378319915560830511587854001/2
PP 14 oo 3 -1
PP 14 oo 2 -7561149639550214999082106703049247967296
PP 14 oo 1 15034880542376519751237556695032409660526
VERD 14 oo 51 22 2 40 NONINTEGRAL
PP 14 0 153 -6
VERD 14 0 153 1 1 0 INTEGRAL
PP 15 oo 102 2
PP 15 oo 45 1
PP 15 oo 29 2
PP 15 oo 27 -1
PP 15 oo 23 -1
PP 15 oo 20 -2
PP 15 oo 19 -7500475132521613589483642789524246982645/6
PP 15 oo 18 7534449234869097364298065723542918402974/3
PP 15 oo 17 -37114680398678440531591290550934290213/2
PP 15 oo 16 -7446986673130995914827257194442076403819/6
PP 15 oo 15 8900134893705878261346993168776521440
PP 15 oo 14 -37114680398678440531591290550934290217/2
PP 15 oo 13 -7500387482493231184395339153454735532459/6
PP 15 oo 9 7561149639550214999082106703049247967288/3
PP 15 oo 8 -37114680398678440531591290550934290221/2
PP 15 oo 5 -37114680398678440531591290550934290217/2
PP 15 oo 4 -7447074323159378319915560830511587854005/6
PP 15 oo 3 -3
PP 15 oo 2 7561149639550214999082106703049247967294/3
PP 15 oo 1 -15034880542376519751237556695032409660532/3
VERD 15 oo 102 20 6 40 NONINTEGRAL
PP 15 0 153 2
VERD 15 0 153 1 1 0 INTEGRAL
BASEVERD 51 2 oo:NONINTEGRAL all:NONINTEGRAL
DONE
