BASE 58 5 9
PP -2 oo 235 -1
PP -2 oo 156 1/2
PP -2 oo 124 1/2
PP -2 oo 79 2
PP -2 oo 76 1/2
PP -2 oo 60 -2
PP -2 oo 55 -1
PP -2 oo 48 -2
PP -2 oo 47 -5/2
PP -2 oo 44 1
PP -2 oo 39 1/2
PP -2 oo 37 1/2
PP -2 oo 31 1/2
PP -2 oo 27 3/2
PP -2 oo 19 -1/2
PP -2 oo 18 1/2
PP -2 oo 17 3
PP -2 oo 15 2
PP -2 oo 12 3/2
PP -2 oo 8 5/2
PP -2 oo 3 4
PP -2 oo 2 2
VERD -2 oo 235 22 2 0 NONINTEGRAL
PP -1 oo 235 -1
PP -1 oo 156 5/2
PP -1 oo 124 3/2
PP -1 oo 79 4
PP -1 oo 76 3/2
PP -1 oo 60 -2
PP -1 oo 56 1
PP -1 oo 55 1
PP -1 oo 48 -1
PP -1 oo 47 -1/2
PP -1 oo 44 1
PP -1 oo 43 2
PP -1 oo 40 2
PP -1 oo 39 -1/2
PP -1 oo 37 3/2
PP -1 oo 31 1/2
PP -1 oo 27 3/2
PP -1 oo 19 -3/2
PP -1 oo 18 -1/2
PP -1 oo 15 4
PP -1 oo 14 -1
PP -1 oo 12 1/2
PP -1 oo 11 -1
PP -1 oo 8 9/2
PP -1 oo 3 2
PP -1 oo 2 -1
VERD -1 oo 235 26 2 0 NONINTEGRAL
PP 8 oo 290 2
PP 8 oo 235 -8
PP 8 oo 200 42
PP 8 oo 156 11
PP 8 oo 145 2
PP 8 oo 124 9
PP 8 oo 76 7
PP 8 oo 60 -12
PP 8 oo 56 26
PP 8 oo 55 66
PP 8 oo 50 -42
PP 8 oo 48 -14
PP 8 oo 47 33
PP 8 oo 44 6
PP 8 oo 43 10
PP 8 oo 40 -14
PP 8 oo 39 41
PP 8 oo 38 2
PP 8 oo 37 13
PP 8 oo 35 -2
PP 8 oo 33 2
PP 8 oo 31 -39
PP 8 oo 30 -2
PP 8 oo 28 2
PP 8 oo 27 11
PP 8 oo 25 4
PP 8 oo 24 -2
PP 8 oo 19 -7
PP 8 oo 18 -25
PP 8 oo 17 -16
PP 8 oo 16 -6
PP 8 oo 15 86
PP 8 oo 14 -26
PP 8 oo 13 2
PP 8 oo 12 -19
PP 8 oo 11 -6
PP 8 oo 10 16
PP 8 oo 9 2
PP 8 oo 8 131
PP 8 oo 7 -2
PP 8 oo 6 2
PP 8 oo 4 -6
PP 8 oo 3 -2
PP 8 oo 2 -128
VERD 8 oo 290 44 1 2 INTEGRAL
PP 9 oo 235 -2
PP 9 oo 200 10
PP 9 oo 156 2
PP 9 oo 145 2
PP 9 oo 124 2
PP 9 oo 76 2
PP 9 oo 60 -4
PP 9 oo 56 6
PP 9 oo 55 14
PP 9 oo 50 -10
PP 9 oo 48 -4
PP 9 oo 47 6
PP 9 oo 44 2
PP 9 oo 43 2
PP 9 oo 40 -4
PP 9 oo 39 10
PP 9 oo 37 2
PP 9 oo 33 2
PP 9 oo 31 -10
PP 9 oo 30 -2
PP 9 oo 27 4
PP 9 oo 25 2
PP 9 oo 24 -2
PP 9 oo 23 -2
PP 9 oo 20 -2
PP 9 oo 19 -2
PP 9 oo 18 -6
PP 9 oo 17 -2
PP 9 oo 16 -4
PP 9 oo 15 20
PP 9 oo 14 -6
PP 9 oo 13 2
PP 9 oo 12 -4
PP 9 oo 11 -2
PP 9 oo 10 4
PP 9 oo 8 30
PP 9 oo 7 -2
PP 9 oo 6 2
PP 9 oo 4 -2
PP 9 oo 3 2
PP 9 oo 2 -28
VERD 9 oo 235 41 1 1 INTEGRAL
PP 10 oo 290 2
PP 10 oo 235 -6
PP 10 oo 200 32
PP 10 oo 156 9
PP 10 oo 124 7
PP 10 oo 76 5
PP 10 oo 60 -8
PP 10 oo 56 20
PP 10 oo 55 52
PP 10 oo 50 -32
PP 10 oo 48 -10
PP 10 oo 47 27
PP 10 oo 44 4
PP 10 oo 43 8
PP 10 oo 40 -10
PP 10 oo 39 31
PP 10 oo 38 2
PP 10 oo 37 11
PP 10 oo 35 -2
PP 10 oo 31 -29
PP 10 oo 28 2
