BASE 86 3 9
PP -2 oo 267 1
PP -2 oo 40 -2
PP -2 oo 31 -2
PP -2 oo 24 -1
PP -2 oo 16 -2
PP -2 oo 6 -1
PP -2 oo 4 -2
PP -2 oo 1 -2
VERD -2 oo 267 8 1 0 INTEGRAL
PP -1 oo 96 -1
PP -1 oo 92 -1
PP -1 oo 68 1
PP -1 oo 60 1
PP -1 oo 56 -1/2
PP -1 oo 49 -3/2
PP -1 oo 44 1
PP -1 oo 40 -3/2
PP -1 oo 36 1/2
PP -1 oo 31 -3/2
PP -1 oo 25 1/2
PP -1 oo 24 3/2
PP -1 oo 23 3
PP -1 oo 17 -1
PP -1 oo 16 -1
PP -1 oo 14 1/2
PP -1 oo 13 -1
PP -1 oo 10 -3/2
PP -1 oo 9 -1/2
PP -1 oo 6 -5/2
PP -1 oo 4 -1
PP -1 oo 1 -2
VERD -1 oo 96 22 2 0 NONINTEGRAL
PP 8 oo 258 2
PP 8 oo 129 2
PP 8 oo 96 -4
PP 8 oo 92 -2
PP 8 oo 68 2
PP 8 oo 60 4
PP 8 oo 56 -1
PP 8 oo 49 -5
PP 8 oo 44 2
PP 8 oo 42 -1
PP 8 oo 40 -7
PP 8 oo 39 -1/2
PP 8 oo 37 1
PP 8 oo 36 1
PP 8 oo 34 2
PP 8 oo 33 5/2
PP 8 oo 32 -5/2
PP 8 oo 31 -7
PP 8 oo 30 -1/2
PP 8 oo 29 3/2
PP 8 oo 28 -3/2
PP 8 oo 27 3
PP 8 oo 26 5/2
PP 8 oo 25 1
PP 8 oo 24 3
PP 8 oo 23 8
PP 8 oo 22 -1/2
PP 8 oo 20 -4
PP 8 oo 19 3/2
PP 8 oo 18 1/2
PP 8 oo 17 -2
PP 8 oo 16 -8
PP 8 oo 15 -2
PP 8 oo 14 1
PP 8 oo 13 -4
PP 8 oo 12 -1/2
PP 8 oo 11 -2
PP 8 oo 10 -5
PP 8 oo 9 -1
PP 8 oo 8 -1/2
PP 8 oo 7 1
PP 8 oo 6 -9
PP 8 oo 5 2
PP 8 oo 4 -6
PP 8 oo 3 -3
PP 8 oo 2 4
PP 8 oo 1 -8
VERD 8 oo 258 47 2 0 NONINTEGRAL
PP 9 oo 129 2
PP 9 oo 96 -6
PP 9 oo 92 -6
PP 9 oo 86 2
PP 9 oo 68 5
PP 9 oo 60 10
PP 9 oo 56 -7/2
PP 9 oo 49 -19/2
PP 9 oo 47 1
PP 9 oo 44 4
PP 9 oo 40 -23/2
PP 9 oo 39 -1
PP 9 oo 37 2
PP 9 oo 36 7/2
PP 9 oo 34 2
PP 9 oo 33 3
PP 9 oo 32 -1
PP 9 oo 31 -25/2
PP 9 oo 30 -1
PP 9 oo 29 1
PP 9 oo 28 -1
PP 9 oo 27 2
PP 9 oo 26 1
PP 9 oo 25 5/2
PP 9 oo 24 17/2
PP 9 oo 23 17
PP 9 oo 22 1
PP 9 oo 20 -2
PP 9 oo 19 1
PP 9 oo 18 1
PP 9 oo 17 -5
PP 9 oo 16 -12
PP 9 oo 15 -3
PP 9 oo 14 7/2
PP 9 oo 13 -10
PP 9 oo 12 -1
PP 9 oo 11 -4
PP 9 oo 10 -17/2
PP 9 oo 9 -7/2
PP 9 oo 8 1
PP 9 oo 6 -37/2
PP 9 oo 4 -5
PP 9 oo 3 -2
PP 9 oo 2 2
PP 9 oo 1 -15
VERD 9 oo 129 45 2 1 NONINTEGRAL
PP 10 oo 258 2
PP 10 oo 96 -6
PP 10 oo 92 -4
PP 10 oo 86 2
PP 10 oo 68 3
PP 10 oo 60 6
PP 10 oo 56 -5/2
PP 10 oo 49 -17/2
PP 10 oo 47 1
PP 10 oo 44 2
PP 10 oo 42 -3
PP 10 oo 40 -17/2
PP 10 oo 39 -5/2
PP 10 oo 37 1
PP 10 oo 36 5/2
PP 10 oo 33 5/2
PP 10 oo 32 -1/2
PP 10 oo 31 -19/2
PP 10 oo 30 3/2
PP 10 oo 29 3/2
