BASE 26 7 9
PP -2 oo 86 -3
PP -2 oo 80 -1/2
PP -2 oo 76 1/2
PP -2 oo 52 1
PP -2 oo 28 -3
PP -2 oo 27 3
PP -2 oo 20 1
PP -2 oo 19 -1/2
PP -2 oo 17 2
PP -2 oo 13 -3
PP -2 oo 11 6
PP -2 oo 10 2
PP -2 oo 7 3
PP -2 oo 5 1/2
PP -2 oo 3 1
VERD -2 oo 86 15 2 0 NONINTEGRAL
PP -1 oo 86 -4
PP -1 oo 80 -1
PP -1 oo 76 1
PP -1 oo 52 2
PP -1 oo 28 -4
PP -1 oo 27 4
PP -1 oo 20 1
PP -1 oo 17 3
PP -1 oo 13 -4
PP -1 oo 11 8
PP -1 oo 10 3
PP -1 oo 7 4
PP -1 oo 3 2
VERD -1 oo 86 13 1 0 INTEGRAL
PP 9 oo 182 2
PP 9 oo 164 2
PP 9 oo 91 2
PP 9 oo 80 -3
PP 9 oo 76 1
PP 9 oo 41 -2
PP 9 oo 32 14
PP 9 oo 31 -2
PP 9 oo 28 -10
PP 9 oo 27 8
PP 9 oo 22 1
PP 9 oo 20 4
PP 9 oo 19 -1
PP 9 oo 17 5
PP 9 oo 15 10
PP 9 oo 13 -8
PP 9 oo 12 -1
PP 9 oo 11 24
PP 9 oo 10 4
PP 9 oo 9 -3
PP 9 oo 8 10
PP 9 oo 7 12
PP 9 oo 5 -1
PP 9 oo 4 -2
PP 9 oo 3 -3
PP 9 oo 2 -2
PP 9 oo 1 -3
VERD 9 oo 182 27 1 1 INTEGRAL
PP 10 oo 91 2
PP 10 oo 86 -10
PP 10 oo 80 -3
PP 10 oo 76 1
PP 10 oo 52 3
PP 10 oo 28 -10
PP 10 oo 27 11
PP 10 oo 26 2
PP 10 oo 24 -1
PP 10 oo 22 1
PP 10 oo 20 3
PP 10 oo 19 -1
PP 10 oo 17 6
PP 10 oo 13 -11
PP 10 oo 12 1
PP 10 oo 11 22
PP 10 oo 10 5
PP 10 oo 9 -1
PP 10 oo 7 10
PP 10 oo 6 1
PP 10 oo 4 -2
PP 10 oo 3 2
PP 10 oo 1 -1
VERD 10 oo 91 23 1 1 INTEGRAL
PP 11 oo 182 2
PP 11 oo 164 7/2
PP 11 oo 80 -6
PP 11 oo 76 2
PP 11 oo 41 -7/2
PP 11 oo 32 20
PP 11 oo 31 -5
PP 11 oo 28 -16
PP 11 oo 27 12
PP 11 oo 26 2
PP 11 oo 24 -1
PP 11 oo 20 7
PP 11 oo 19 -2
PP 11 oo 17 6
PP 11 oo 15 16
PP 11 oo 13 -12
PP 11 oo 12 -2
PP 11 oo 11 34
PP 11 oo 10 6
PP 11 oo 9 -2
PP 11 oo 8 16
PP 11 oo 7 18
PP 11 oo 6 1
PP 11 oo 5 -1
PP 11 oo 3 -2
PP 11 oo 2 -2
PP 11 oo 1 -2
VERD 11 oo 182 27 2 1 NONINTEGRAL
PP 12 oo 182 2
PP 12 oo 164 7/2
PP 12 oo 91 2
PP 12 oo 80 -6
PP 12 oo 76 2
PP 12 oo 41 -7/2
PP 12 oo 32 22
PP 12 oo 31 -5
PP 12 oo 28 -18
PP 12 oo 27 14
PP 12 oo 26 2
PP 12 oo 24 -1
PP 12 oo 22 1
PP 12 oo 20 7
PP 12 oo 19 -2
PP 12 oo 17 7
PP 12 oo 15 18
PP 12 oo 13 -14
PP 12 oo 12 -1
PP 12 oo 11 40
PP 12 oo 10 6
PP 12 oo 9 -3
PP 12 oo 8 18
PP 12 oo 7 20
PP 12 oo 6 1
PP 12 oo 5 -1
PP 12 oo 4 -2
PP 12 oo 3 -3
PP 12 oo 2 -2
PP 12 oo 1 -3
VERD 12 oo 182 30 2 1 NONINTEGRAL
PP 13 oo 86 -8
PP 13 oo 80 -3
PP 13 oo 76 1
PP 13 oo 52 3
PP 13 oo 28 -8
PP 13 oo 27 9
PP 13 oo 26 2
PP 13 oo 24 -1
PP 13 oo 20 3
PP 13 oo 19 -1
PP 13 oo 17 5
PP 13 oo 13 -9
PP 13 oo 11 16
PP 13 oo 10 5
PP 13 oo 7 8
PP 13 oo 6 1
PP 13 oo 3 3
VERD 13 oo 86 17 1 1 INTEGRAL
PP 14 oo 91 2
PP 14 oo 86 -2
PP 14 oo 28 -2
PP 14 oo 27 2
PP 14 oo 22 1
PP 14 oo 17 1
PP 14 oo 13 -2
PP 14 oo 12 1
PP 14 oo 11 6
PP 14 oo 9 -1
PP 14 oo 7 2
PP 14 oo 4 -2
PP 14 oo 3 -1
PP 14 oo 1 -1
VERD 14 oo 91 14 1 0 INTEGRAL
PP 15 oo 182 2
PP 15 oo 164 2
PP 15 oo 80 -3
PP 15 oo 76 1
PP 15 oo 41 -2
PP 15 oo 32 12
PP 15 oo 31 -2
PP 15 oo 28 -8
PP 15 oo 27 6
PP 15 oo 20 4
PP 15 oo 19 -1
PP 15 oo 17 4
PP 15 oo 15 8
PP 15 oo 13 -6
PP 15 oo 12 -2
PP 15 oo 11 18
PP 15 oo 10 4
PP 15 oo 9 -2
PP 15 oo 8 8
PP 15 oo 7 10
PP 15 oo 5 -1
PP 15 oo 3 -2
PP 15 oo 2 -2
PP 15 oo 1 -2
VERD 15 oo 182 24 1 1 INTEGRAL
BASEVERD 26 7 oo:NONINTEGRAL all:NONINTEGRAL
DONE
