BASE 34 11 9
PP -2 oo 160 -1/2
PP -2 oo 156 -1/2
PP -2 oo 96 -1
PP -2 oo 95 1/2
PP -2 oo 88 -1
PP -2 oo 63 3/2
PP -2 oo 51 1
PP -2 oo 50 -1
PP -2 oo 49 -1
PP -2 oo 48 1
PP -2 oo 47 1
PP -2 oo 43 -1/2
PP -2 oo 42 -1/2
PP -2 oo 40 -1
PP -2 oo 39 3/2
PP -2 oo 38 -1
PP -2 oo 35 -1/2
PP -2 oo 34 -1
PP -2 oo 33 1
PP -2 oo 31 -1
PP -2 oo 30 -1/2
PP -2 oo 27 -1
PP -2 oo 25 3/2
PP -2 oo 24 -1/2
PP -2 oo 23 1
PP -2 oo 22 1
PP -2 oo 21 1/2
PP -2 oo 20 -2
PP -2 oo 18 -1/2
PP -2 oo 15 1
PP -2 oo 13 -1
PP -2 oo 10 3/2
PP -2 oo 9 1/2
PP -2 oo 8 1
PP -2 oo 7 -3/2
PP -2 oo 6 1/2
PP -2 oo 5 1
PP -2 oo 4 1
PP -2 oo 3 -1
PP -2 oo 2 -1/2
PP -2 oo 1 -1
VERD -2 oo 160 41 2 0 NONINTEGRAL
PP -1 oo 160 1/2
PP -1 oo 156 1/2
PP -1 oo 88 1
PP -1 oo 63 -1
PP -1 oo 50 1
PP -1 oo 49 1
PP -1 oo 48 -1
PP -1 oo 47 -1
PP -1 oo 43 1/2
PP -1 oo 42 1/2
PP -1 oo 40 1
PP -1 oo 39 -3/2
PP -1 oo 38 1
PP -1 oo 34 1
PP -1 oo 33 -1
PP -1 oo 32 -1/2
PP -1 oo 31 1
PP -1 oo 30 1/2
PP -1 oo 27 1
PP -1 oo 25 -3/2
PP -1 oo 23 -1
PP -1 oo 22 -1
PP -1 oo 20 2
PP -1 oo 19 -1/2
PP -1 oo 18 1/2
PP -1 oo 15 -1
PP -1 oo 13 1/2
PP -1 oo 10 -1/2
PP -1 oo 9 -1/2
PP -1 oo 8 -1/2
PP -1 oo 7 1
PP -1 oo 6 -1
PP -1 oo 5 -1
PP -1 oo 4 -1
PP -1 oo 3 1
PP -1 oo 2 1/2
PP -1 oo 1 1
