BASE 87 2 9
PP -2 oo 90 1
PP -2 oo 89 1/4
PP -2 oo 72 -1/2
PP -2 oo 68 -19202900972788667794916752571980149254860814727946061426/81
PP -2 oo 56 19202900972788667794916752571980149254860814727946061426/81
PP -2 oo 50 76811603891154671179667010287920597019443258911784245623/324
PP -2 oo 38 4943764418309403546679334926068914691555556212700260380/81
PP -2 oo 36 55014045460121831495315178354618578053602674562905957359/486
PP -2 oo 35 -12792864137607739161299573966105772764065248402746409742219/1944
PP -2 oo 34 25589354686331621400786783830630349570258631747257191571737/3888
PP -2 oo 33 1008899288062582661688144084532947443469639971863390892797/162
PP -2 oo 32 -76811603891154671179667010287920597019443258911784245785/324
PP -2 oo 30 -4239230785881777061854342487186543792202363045469208214677/648
PP -2 oo 29 109789064231866569542582196234616754300003720405502827519/324
PP -2 oo 28 -24039357869299711196704922014035433121422857400698673897487/3888
PP -2 oo 26 5496243390118649727152530991116026213426743582286430397/54
PP -2 oo 25 643011631352178828505366540489159458400001329410629098639/3888
PP -2 oo 24 51734788480290123354763907023783706533737914211901897093/486
PP -2 oo 23 2044937905878493581623852909182384092767403645893093585021/324
PP -2 oo 22 -145861690310136666594234703098117478207652857050145183585/486
PP -2 oo 20 538681742527590037791608776354250211766851841574649103135/81
PP -2 oo 17 -43834143550442772816751824341224439738882797418065662917/324
PP -2 oo 16 78370768729065950880619449233783357828322549647560386019/1296
PP -2 oo 14 76811603891154671179667010287920597019443258911784245947/324
PP -2 oo 13 -24065591925138364861829332184682112093581775483506706379615/3888
PP -2 oo 11 38405801945577335589833505143960298509721629455892122771/81
PP -2 oo 9 -12924631511566491678982083089654766202742040793255232232403/1944
PP -2 oo 8 19202900972788667794916752571980149254860814727946061507/81
PP -2 oo 7 648990614029518839479969603891619725754870962637896334801/3888
PP -2 oo 6 1537576697844103200139322444645895582711396534725535257609/243
PP -2 oo 5 -12673589182244140241629360274163431785440879692557887852221/1944
PP -2 oo 4 -24065591925138364861829332184682112093581775483506706379615/3888
PP -2 oo 3 -1/2
PP -2 oo 2 10992486780237299454305061982232052426853487164572860821/108
PP -2 oo 1 26003232994173942387624895086820619222528535060952406748481/3888
VERD -2 oo 90 35 3888 58 NONINTEGRAL
PP -2 0 261 -3/2
VERD -2 0 261 1 2 0 NONINTEGRAL
PP -1 oo 89 -2
PP -1 oo 68 76811603891154671179667010287920597019443258911784246028/243
PP -1 oo 58 2
PP -1 oo 56 -76811603891154671179667010287920597019443258911784246271/243
