BASE 62 3 9
PP -2 oo 80 1
PP -2 oo 56 -1
PP -2 oo 40 -3/2
PP -2 oo 39 -3
PP -2 oo 36 -1/2
PP -2 oo 32 -1
PP -2 oo 20 1/2
PP -2 oo 14 1
PP -2 oo 10 3/2
PP -2 oo 9 1/2
PP -2 oo 8 -1/2
PP -2 oo 7 -1
PP -2 oo 5 -1/2
PP -2 oo 4 -2
PP -2 oo 2 -1/2
PP -2 oo 1 2
VERD -2 oo 80 16 2 0 NONINTEGRAL
PP -1 oo 93 2
PP -1 oo 30 1
PP -1 oo 29 -1
PP -1 oo 26 1
PP -1 oo 25 2
PP -1 oo 24 1
PP -1 oo 23 1
PP -1 oo 22 1
PP -1 oo 21 1
PP -1 oo 17 -1
PP -1 oo 16 -2
PP -1 oo 15 1
PP -1 oo 13 1
PP -1 oo 12 1
PP -1 oo 7 -2
PP -1 oo 6 2
PP -1 oo 2 -2
PP -1 oo 1 -2
VERD -1 oo 93 18 1 0 INTEGRAL
PP 9 oo 186 2
PP 9 oo 93 2
PP 9 oo 80 2
PP 9 oo 56 -2
PP 9 oo 40 -3
PP 9 oo 39 -6
PP 9 oo 36 -1
PP 9 oo 32 -2
PP 9 oo 30 3/2
PP 9 oo 29 3/2
PP 9 oo 27 -1
PP 9 oo 26 3/2
PP 9 oo 25 2
PP 9 oo 24 1/2
PP 9 oo 23 3/2
PP 9 oo 22 -1/2
PP 9 oo 21 3/2
PP 9 oo 20 1
PP 9 oo 17 1/2
PP 9 oo 16 -4
PP 9 oo 15 1/2
PP 9 oo 14 2
PP 9 oo 13 1/2
PP 9 oo 12 1/2
PP 9 oo 11 1
PP 9 oo 10 3
PP 9 oo 9 1
PP 9 oo 8 -1
PP 9 oo 7 -6
PP 9 oo 5 -3
PP 9 oo 4 -4
PP 9 oo 3 1
PP 9 oo 2 -5
PP 9 oo 1 2
VERD 9 oo 186 34 2 0 NONINTEGRAL
PP 10 oo 93 2
PP 10 oo 80 2
PP 10 oo 62 2
PP 10 oo 56 -3
PP 10 oo 40 -3
PP 10 oo 39 -6
PP 10 oo 36 -1
PP 10 oo 32 -4
PP 10 oo 30 2
PP 10 oo 27 -2
PP 10 oo 26 2
PP 10 oo 25 2
PP 10 oo 23 2
PP 10 oo 21 2
PP 10 oo 20 -1
PP 10 oo 16 -2
PP 10 oo 14 3
PP 10 oo 13 2
PP 10 oo 11 2
PP 10 oo 10 3
PP 10 oo 9 1
PP 10 oo 8 -2
PP 10 oo 7 -4
PP 10 oo 6 2
PP 10 oo 5 -1
PP 10 oo 4 -4
PP 10 oo 3 2
PP 10 oo 2 -4
PP 10 oo 1 2
VERD 10 oo 93 29 1 0 INTEGRAL
PP 11 oo 186 2
PP 11 oo 152 5
PP 11 oo 80 4
PP 11 oo 62 2
PP 11 oo 40 -1
PP 11 oo 39 -2
PP 11 oo 38 -5
PP 11 oo 36 3
PP 11 oo 32 -6
PP 11 oo 30 3/2
PP 11 oo 29 7/2
PP 11 oo 27 -3
PP 11 oo 26 3/2
PP 11 oo 24 -3/2
PP 11 oo 23 3/2
PP 11 oo 22 -5/2
PP 11 oo 21 3/2
PP 11 oo 20 -5
PP 11 oo 17 5/2
PP 11 oo 16 -2
PP 11 oo 15 -3/2
PP 11 oo 13 1/2
PP 11 oo 12 -3/2
PP 11 oo 11 3
PP 11 oo 10 1
PP 11 oo 9 -3
PP 11 oo 8 2
PP 11 oo 7 -6
PP 11 oo 6 -2
PP 11 oo 5 1
PP 11 oo 4 2
PP 11 oo 3 3
PP 11 oo 2 -10
PP 11 oo 1 -2
VERD 11 oo 186 34 2 1 NONINTEGRAL
PP 12 oo 186 2
PP 12 oo 152 5
PP 12 oo 93 2
PP 12 oo 80 4
PP 12 oo 62 2
PP 12 oo 40 -1
PP 12 oo 39 -2
PP 12 oo 38 -5
PP 12 oo 36 3
PP 12 oo 32 -6
PP 12 oo 30 5/2
PP 12 oo 29 5/2
PP 12 oo 27 -3
PP 12 oo 26 5/2
PP 12 oo 25 2
PP 12 oo 24 -1/2
PP 12 oo 23 5/2
PP 12 oo 22 -3/2
PP 12 oo 21 5/2
PP 12 oo 20 -5
PP 12 oo 17 3/2
PP 12 oo 16 -4
PP 12 oo 15 -1/2
PP 12 oo 13 3/2
PP 12 oo 12 -1/2
PP 12 oo 11 3
PP 12 oo 10 1
PP 12 oo 9 -3
PP 12 oo 8 2
PP 12 oo 7 -8
PP 12 oo 5 1
PP 12 oo 4 2
PP 12 oo 3 3
PP 12 oo 2 -12
PP 12 oo 1 -4
VERD 12 oo 186 35 2 1 NONINTEGRAL
PP 13 oo 80 2
PP 13 oo 62 2
PP 13 oo 56 -3
PP 13 oo 40 -3
PP 13 oo 39 -6
PP 13 oo 36 -1
PP 13 oo 32 -4
PP 13 oo 30 1
PP 13 oo 29 1
PP 13 oo 27 -2
PP 13 oo 26 1
PP 13 oo 24 -1
PP 13 oo 23 1
PP 13 oo 22 -1
PP 13 oo 21 1
PP 13 oo 20 -1
PP 13 oo 17 1
PP 13 oo 15 -1
PP 13 oo 14 3
PP 13 oo 13 1
PP 13 oo 12 -1
PP 13 oo 11 2
PP 13 oo 10 3
PP 13 oo 9 1
PP 13 oo 8 -2
PP 13 oo 7 -2
PP 13 oo 5 -1
PP 13 oo 4 -4
PP 13 oo 3 2
PP 13 oo 2 -2
PP 13 oo 1 4
VERD 13 oo 80 31 1 0 INTEGRAL
PP 14 oo 93 2
PP 14 oo 30 1
PP 14 oo 29 -1
PP 14 oo 26 1
PP 14 oo 25 2
PP 14 oo 24 1
PP 14 oo 23 1
PP 14 oo 22 1
PP 14 oo 21 1
PP 14 oo 17 -1
PP 14 oo 16 -2
PP 14 oo 15 1
PP 14 oo 13 1
PP 14 oo 12 1
PP 14 oo 7 -2
PP 14 oo 6 2
PP 14 oo 2 -2
PP 14 oo 1 -2
VERD 14 oo 93 18 1 0 INTEGRAL
PP 15 oo 186 2
PP 15 oo 80 2
PP 15 oo 56 -2
PP 15 oo 40 -3
PP 15 oo 39 -6
PP 15 oo 36 -1
PP 15 oo 32 -2
PP 15 oo 30 1/2
PP 15 oo 29 5/2
PP 15 oo 27 -1
PP 15 oo 26 1/2
PP 15 oo 24 -1/2
PP 15 oo 23 1/2
PP 15 oo 22 -3/2
PP 15 oo 21 1/2
PP 15 oo 20 1
PP 15 oo 17 3/2
PP 15 oo 16 -2
PP 15 oo 15 -1/2
PP 15 oo 14 2
PP 15 oo 13 -1/2
PP 15 oo 12 -1/2
PP 15 oo 11 1
PP 15 oo 10 3
PP 15 oo 9 1
PP 15 oo 8 -1
PP 15 oo 7 -4
PP 15 oo 6 -2
PP 15 oo 5 -3
PP 15 oo 4 -4
PP 15 oo 3 1
PP 15 oo 2 -3
PP 15 oo 1 4
VERD 15 oo 186 33 2 0 NONINTEGRAL
BASEVERD 62 3 oo:NONINTEGRAL all:NONINTEGRAL
DONE
