BASE 58 3 9
PP -2 oo 87 2
PP -2 oo 85 3
PP -2 oo 84 -1
PP -2 oo 79 -6
PP -2 oo 72 -2
PP -2 oo 48 -4
PP -2 oo 39 -4
PP -2 oo 32 -2
PP -2 oo 31 -9
PP -2 oo 24 -1
PP -2 oo 22 1
PP -2 oo 21 1
PP -2 oo 20 -2
PP -2 oo 19 5
PP -2 oo 18 2
PP -2 oo 15 -4
PP -2 oo 13 -1
PP -2 oo 11 1
PP -2 oo 10 4
PP -2 oo 9 -1
PP -2 oo 8 1
PP -2 oo 7 1
PP -2 oo 5 1
PP -2 oo 4 -1
PP -2 oo 3 -2
PP -2 oo 2 1
PP -2 oo 1 -1
VERD -2 oo 87 27 1 0 INTEGRAL
PP -1 oo 87 -2
PP -1 oo 85 2
PP -1 oo 84 -2
PP -1 oo 79 -6
PP -1 oo 72 -2
PP -1 oo 48 -2
PP -1 oo 39 -4
PP -1 oo 31 -6
PP -1 oo 24 1
PP -1 oo 22 -1
PP -1 oo 21 2
PP -1 oo 20 2
PP -1 oo 19 2
PP -1 oo 18 2
PP -1 oo 15 -4
PP -1 oo 13 1
PP -1 oo 12 -2
PP -1 oo 10 2
PP -1 oo 9 1
PP -1 oo 8 2
PP -1 oo 7 -1
PP -1 oo 5 -1
PP -1 oo 4 1
PP -1 oo 3 -2
PP -1 oo 1 1
VERD -1 oo 87 25 1 0 INTEGRAL
PP 9 oo 174 2
PP 9 oo 68 -2
PP 9 oo 60 4
PP 9 oo 56 3
PP 9 oo 48 -12
PP 9 oo 47 -8
PP 9 oo 44 -2
PP 9 oo 43 -6
PP 9 oo 39 -2
PP 9 oo 37 11
PP 9 oo 32 -6
PP 9 oo 31 10
PP 9 oo 22 2
PP 9 oo 19 -13
PP 9 oo 17 2
PP 9 oo 16 4
PP 9 oo 15 -8
PP 9 oo 14 -3
PP 9 oo 13 -2
PP 9 oo 11 2
PP 9 oo 10 -6
PP 9 oo 8 1
PP 9 oo 7 4
PP 9 oo 6 -2
PP 9 oo 5 -2
PP 9 oo 3 -6
PP 9 oo 2 5
PP 9 oo 1 -2
VERD 9 oo 174 28 1 1 INTEGRAL
PP 10 oo 87 -2
PP 10 oo 85 2
PP 10 oo 84 -2
PP 10 oo 79 -6
PP 10 oo 72 -2
PP 10 oo 48 -2
PP 10 oo 39 -4
PP 10 oo 31 -6
PP 10 oo 24 1
PP 10 oo 22 -1
PP 10 oo 21 2
PP 10 oo 20 2
PP 10 oo 19 2
PP 10 oo 18 2
PP 10 oo 15 -4
PP 10 oo 13 1
PP 10 oo 12 -2
PP 10 oo 10 2
PP 10 oo 9 1
PP 10 oo 8 2
PP 10 oo 7 -1
PP 10 oo 5 -1
PP 10 oo 4 1
PP 10 oo 3 -2
PP 10 oo 1 1
VERD 10 oo 87 25 1 0 INTEGRAL
PP 11 oo 174 2
PP 11 oo 68 -4
PP 11 oo 60 4
PP 11 oo 56 2
PP 11 oo 48 -14
PP 11 oo 47 -10
PP 11 oo 44 -2
PP 11 oo 43 -8
PP 11 oo 39 -4
PP 11 oo 37 10
PP 11 oo 32 -6
PP 11 oo 31 8
PP 11 oo 22 2
PP 11 oo 19 -14
PP 11 oo 17 4
PP 11 oo 16 4
PP 11 oo 15 -4
PP 11 oo 14 -2
PP 11 oo 13 -2
PP 11 oo 12 -2
PP 11 oo 11 2
PP 11 oo 10 -8
PP 11 oo 7 4
PP 11 oo 6 -2
PP 11 oo 5 -2
PP 11 oo 3 -8
PP 11 oo 2 8
PP 11 oo 1 -2
